index,Viscosity,T,3d,4d,5d,Optical alkalinity,CaO,Al2O3,SiO2,CaF2,MgO
131,0.6,1873,1,0,0,0.842,0.115,0.235,0,0.65,0
132,0.65,1873,1,0,0,0.757,0.128,0.311,0,0.561,0
133,0.7,1873,1,0,0,0.663,0.202,0.398,0,0.4,0
134,0.5,1873,1,0,0,0.836,0.284,0.216,0,0.5,0
135,0.5,1873,1,0,0,0.809,0.451,0.3,0,0.249,0
136,0.53,1873,1,0,0,0.797,0.503,0.219,0,0.278,0
137,0.4,1873,1,0,0,0.903,0.48,0.135,0,0.385,0
138,1.35,1873,1,0,0,0.746,0.314,0.446,0,0.239,0
139,0.6,1873,1,0,0,0.739,0.363,0.293,0,0.344,0
140,0.5,1873,1,0,0,0.752,0.413,0.273,0,0.314,0
141,0.6,1873,1,0,0,0.785,0.422,0.241,0,0.336,0
142,0.5,1873,1,0,0,0.822,0.432,0.207,0,0.361,0
143,1.1,1773,1,0,0,0.76,0.439,0.262,0,0.299,0
144,0.99,1773,1,0,0,0.772,0.36,0.262,0,0.378,0
145,1.03,1773,1,0,0,0.773,0.358,0.262,0,0.38,0
146,3.29,1773,1,0,0,0.747,0.439,0.415,0,0.146,0
147,2.4,1773,1,0,0,0.752,0.393,0.415,0,0.192,0
148,1.49,1773,1,0,0,0.761,0.312,0.415,0,0.273,0
149,1.8,1773,1,0,0,0.806,0.417,0.312,0,0.271,0
