index,Viscosity,T,3d,4d,5d,Optical alkalinity,CaO,Al2O3,SiO2,CaF2,MgO
0,7.6,1816,1,0,0,0.617,0.45,0.15,0.4,0,0
1,7.0,1816,1,0,0,0.622,0.45,0.1,0.45,0,0
2,24.5,1816,1,0,0,0.582,0.35,0.1,0.55,0,0
3,23.8,1816,1,0,0,0.577,0.35,0.15,0.5,0,0
4,12.7,1816,1,0,0,0.592,0.4,0.2,0.4,0,0
5,13.0,1816,1,0,0,0.596,0.4,0.15,0.45,0,0
6,11.8,1816,1,0,0,0.601,0.4,0.1,0.5,0,0
7,9.5,1791,1,0,0,0.617,0.45,0.15,0.4,0,0
8,8.5,1791,1,0,0,0.622,0.45,0.1,0.45,0,0
9,30.5,1791,1,0,0,0.582,0.35,0.1,0.55,0,0
10,30.0,1791,1,0,0,0.577,0.35,0.15,0.5,0,0
11,16.0,1791,1,0,0,0.592,0.4,0.2,0.4,0,0
12,16.2,1791,1,0,0,0.596,0.4,0.15,0.45,0,0
13,14.9,1791,1,0,0,0.601,0.4,0.1,0.5,0,0
14,11.9,1765,1,0,0,0.617,0.45,0.15,0.4,0,0
15,10.5,1765,1,0,0,0.622,0.45,0.1,0.45,0,0
16,38.7,1765,1,0,0,0.582,0.35,0.1,0.55,0,0
17,38.4,1765,1,0,0,0.577,0.35,0.15,0.5,0,0
18,20.6,1765,1,0,0,0.592,0.4,0.2,0.4,0,0
19,20.9,1765,1,0,0,0.596,0.4,0.15,0.45,0,0
20,18.9,1765,1,0,0,0.601,0.4,0.1,0.5,0,0
21,15.1,1740,1,0,0,0.617,0.45,0.15,0.4,0,0
22,13.1,1740,1,0,0,0.622,0.45,0.1,0.45,0,0
23,50.3,1740,1,0,0,0.582,0.35,0.1,0.55,0,0
24,49.5,1740,1,0,0,0.577,0.35,0.15,0.5,0,0
25,26.7,1740,1,0,0,0.592,0.4,0.2,0.4,0,0
26,27.4,1740,1,0,0,0.596,0.4,0.15,0.45,0,0
27,24.0,1740,1,0,0,0.601,0.4,0.1,0.5,0,0
28,19.5,1714,1,0,0,0.617,0.45,0.15,0.4,0,0
29,16.6,1714,1,0,0,0.622,0.45,0.1,0.45,0,0
30,66.6,1714,1,0,0,0.582,0.35,0.1,0.55,0,0
31,64.9,1714,1,0,0,0.577,0.35,0.15,0.5,0,0
