,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ETR,0.45311968,0.119503857,0.004469192,0.041585366,0.07995935,0.506795352,0.45311968,0.416762539,0.028236633,0.303329268,0.32954878,-13.05272748,0,0,0,0,0,0,0,0,1,1,2,10,14
SVR,0.007198191,0.161015267,0.008301305,0.133934966,0.140902371,0.398124094,0.007198191,0.539744019,0.036509331,0.329248038,0.329248038,-3.609897898,1,1,1,7,1,2,2,6,3,2,1,6,20
CTBR,-0.57235998,0.202633743,0.01235034,0.076001723,0.14977954,-0.130976589,-0.57235998,0.420164302,0.024193789,0.287915595,0.287915595,-31.5128538,2,2,2,4,2,4,13,1,0,0,0,12,26
XGBR,-0.820812662,0.218056184,0.01380896,0.073858831,0.152412307,-0.322455876,-0.820812662,0.480995804,0.031858802,0.343030805,0.343030805,-17.18905498,3,3,3,3,3,6,5,2,2,4,4,11,28
Ridge,-1.674164129,0.264259011,0.022869293,0.222113032,0.232639725,-1.413888528,-1.674164129,0.483716937,0.037781324,0.342784626,0.3428253,-8.22108856,5,5,5,10,8,8,7,3,4,3,3,8,28
BR,-2.29592931,0.293376093,0.024683207,0.20044,0.216796667,-0.496090348,-2.29592931,0.509169428,0.04500513,0.378511,0.358269,-4.286514526,6,6,6,9,7,7,6,4,5,6,5,7,33
GBR,-2.713812254,0.311419461,0.02599574,0.057091299,0.199531273,-1.564059256,-2.713812254,0.584036926,0.054901444,0.359359712,0.379472339,-1.57451101,9,9,9,1,6,9,8,8,7,5,6,4,38
"AdaBoostRegressor(learning_rate=0.001, n_estimators=140)",-2.674790802,0.30977908,0.025199682,0.061666667,0.19625,-1.587902144,-2.674790802,0.526602314,0.056130294,0.392001714,0.399814935,-0.554246418,8,8,8,2,5,10,9,5,8,8,8,3,41
Lasso,-2.57717737,0.30563706,0.024816968,0.23637911,0.280546604,0.436789547,-2.57717737,0.621107889,0.05839383,0.442093413,0.442093413,-0.207673131,7,7,7,11,10,1,1,9,9,9,11,2,41
RFR,-4.653637259,0.384237498,0.038777298,0.156124702,0.273931627,-2.036138584,-4.653637259,0.560802483,0.050898436,0.389950748,0.385121728,-11.21026901,10,10,10,8,9,11,10,7,6,7,7,9,46
LGBR,-10.97115154,0.559118343,0.089087984,0.571923084,0.535256417,0,-10.97115154,0.800277844,0.114685027,0.620529412,0.620529412,0.1,13,13,13,13,13,3,3,12,12,12,13,0,52
MLPR,-1.16178523,0.2375976,0.019806974,0.097195452,0.160497704,-0.302180119,-1.16178523,1.437062271,0.143513454,0.985116853,0.408130051,-0.05501705,4,4,4,5,4,5,4,13,13,13,9,1,53
DTR,-8.871591675,0.507725958,0.06028553,0.104166667,0.336944444,-5.839499935,-8.871591675,0.622104292,0.072092581,0.463583333,0.435333333,-2.168982814,11,11,12,6,11,12,11,10,11,10,10,5,57
LR,-9.826921743,0.531726463,0.049731073,0.375536118,0.451173067,-8.80637251,-9.826921743,0.645738025,0.067233984,0.524631394,0.524631394,-85.77359392,12,12,11,12,12,13,12,11,10,11,12,13,69
