,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
XGBR,0.960214843,2.873012471,0.017158299,0.967033529,1.588429025,0.961090726,0.915206649,4.104739115,0.020042295,1.671103646,2.305279807,0.940059197,2,2,1,2,2,2,0,0,0,0,0,0,0
GBR,0.961358433,2.831420273,0.019711299,0.89290225,1.550972137,0.962542502,0.873574929,4.320321391,0.026840308,2.046939717,2.403090166,0.920512515,1,1,2,0,1,1,1,2,3,3,1,1,11
CTBR,0.964072577,2.730171991,0.016118995,0.923955897,1.526780704,0.964404624,0.832228234,4.29131296,0.026433737,1.73265578,2.514241355,0.869426311,0,0,0,1,0,0,3,1,2,1,2,4,13
ETR,0.931904399,3.758689944,0.027392158,1.375245902,2.388776819,0.934278611,0.86582423,4.506320712,0.025271265,1.845336905,2.872035066,0.917341086,3,3,3,4,3,3,2,3,1,2,3,2,13
RFR,0.900476609,4.544012896,0.039333547,1.452225,2.906468706,0.904379012,0.723819447,5.227603783,0.04706908,2.724896708,3.420324441,0.875673395,4,4,4,5,4,4,4,5,4,6,5,3,27
DTR,0.870066981,5.192024565,0.049484029,1.35,3.314605263,0.874315199,0.583629712,5.177623247,0.062123591,2.16525,3.311650641,0.754171734,8,8,6,3,6,8,5,4,5,4,4,6,28
SVR,0.899825013,4.558863842,0.067429,2.033377987,3.201224598,0.899846068,0.368929358,6.288311896,0.063254887,2.175146449,3.913839632,0.657071797,5,5,7,6,5,5,8,7,6,5,6,10,42
LGBMR,0.88363452,4.913478451,0.100832963,3.095398272,3.883264435,0.886602036,0.429522769,7.005737136,0.084074248,3.599033052,4.489572102,0.712054268,7,7,9,8,8,7,7,9,7,8,8,7,46
MLPR,0.894872216,4.670202678,0.043235694,2.682898432,3.697791852,0.894938166,0.444594896,5.83418582,0.328279184,3.313844545,4.145375002,0.664506196,6,6,5,7,7,6,6,6,13,7,7,9,48
ADBR,0.817631571,6.151086037,0.110132579,3.79,4.769612117,0.825160602,0.211227641,6.574540893,0.152976009,4.236876644,4.808541933,0.805440031,9,9,10,9,9,9,9,8,9,9,9,5,49
BR,0.723076205,7.579788901,0.097231376,3.791609246,5.235600094,0.725108057,0.121851277,8.442723486,0.104476259,4.683304619,5.960762951,0.704986841,10,10,8,10,10,10,10,10,8,10,10,8,56
LR,0.706003808,7.809942315,0.325218661,4.597771143,5.931530313,0.707070933,-3.773740389,8.981267163,0.236932686,5.027100985,6.626119625,-2.088505695,11,11,12,11,11,11,12,12,10,11,12,12,69
Ridge,0.706003808,7.809942315,0.325218661,4.597771143,5.931530313,0.707070933,-3.773740389,8.981267163,0.236932686,5.027100985,6.626119625,-2.088505695,12,12,13,12,12,12,13,11,11,12,11,11,69
Lasso,0.684921857,8.085113336,0.180759717,5.853472338,6.18053731,0.69310209,-3.725163865,11.80546189,0.285952918,6.821265463,8.488699727,-3.297809949,13,13,11,13,13,13,11,13,12,13,13,13,75
