,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9602148430715685,2.8730124705359876,0.01715829856353678,0.9670335292816148,1.5884290250978967,0.9610907256077099,0.9152066490989578,-4.104739114619256,0.02004229468731349,-1.6711036462783817,-2.3052798071518925,0.9400591974571031,2,2,1,2,2,2,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=350, subsample=0.6)",0.961358433161871,2.831420273099033,0.01971129949104834,0.8929022500996253,1.5509721371404794,0.9625425022601117,0.8735749288884737,-4.320321390786334,0.02684030823827587,-2.046939717076724,-2.403090166361187,0.9205125149971295,1,1,2,0,1,1,1,2,3,3,1,1,11
<catboost.core.CatBoostRegressor object at 0x000001CC6FD69FD0>,0.9640725770173821,2.730171991073629,0.016118995372995475,0.9239558969723962,1.526780704322111,0.9644046237792698,0.8322282338303276,-4.291312959593474,0.026433736585653657,-1.7326557798081936,-2.5142413545964195,0.8694263112611317,0,0,0,1,0,0,3,1,2,1,2,4,13
"ExtraTreesRegressor(max_depth=10, n_estimators=61, n_jobs=-3)",0.9319043989849026,3.7586899439311123,0.027392158049559124,1.3752459016393432,2.388776819096925,0.9342786112946355,0.865824229611154,-4.5063207115841575,0.02527126490581921,-1.845336904761902,-2.8720350662543304,0.9173410861121669,3,3,3,4,3,3,2,3,1,2,3,2,13
"RandomForestRegressor(max_depth=18, n_estimators=200)",0.9004766093070722,4.544012895837157,0.03933354726156799,1.4522250000000207,2.9064687061403474,0.9043790123777723,0.7238194465589567,-5.22760378331696,0.047069079995408644,-2.724896708333335,-3.4203244405525006,0.8756733945982156,4,4,4,5,4,4,4,5,4,6,5,3,27
DecisionTreeRegressor(max_depth=15),0.8700669807277414,5.1920245645554655,0.0494840287969597,1.3499999999999983,3.3146052631578944,0.8743151990100202,0.5836297120239207,-5.177623246623335,0.0621235909992915,-2.1652500000000012,-3.3116506410256408,0.7541717338712508,8,8,6,3,6,8,5,4,5,4,4,6,28
"SVR(C=1.6, cache_size=2000, epsilon=0.02, gamma=4, kernel='poly')",0.8998250126488296,4.558863842320531,0.06742899958996579,2.0333779868367046,3.201224598458437,0.8998460683744477,0.3689293580799603,-6.2883118963389215,0.06325488743153687,-2.175146449482301,-3.9138396315950708,0.6570717971684074,5,5,7,6,5,5,8,7,6,5,6,10,42
"LGBMRegressor(learning_rate=0.09, max_depth=19, n_estimators=650, num_leaves=5)",0.8836345201509231,4.913478451250369,0.1008329629161555,3.0953982720106286,3.883264434749273,0.8866020355451316,0.42952276870016465,-7.005737136323409,0.08407424781975087,-3.5990330523728176,-4.48957210188863,0.7120542680955378,7,7,9,8,8,7,7,9,7,8,8,7,46
"MLPRegressor(hidden_layer_sizes=(40, 6), max_iter=20, solver='lbfgs')",0.8948722159142531,4.670202677941419,0.043235694426048465,2.6828984320222533,3.697791851510562,0.8949381662243097,0.44459489557630477,-5.834185819527902,0.3282791836041923,-3.3138445449109613,-4.145375002162735,0.6645061957807362,6,6,5,7,7,6,6,6,13,7,7,9,48
"AdaBoostRegressor(learning_rate=0.1, loss='square', n_estimators=140)",0.8176315711512154,6.151086036763488,0.1101325786053563,3.789999999999999,4.769612117413476,0.8251606021457526,0.21122764133866326,-6.574540893403964,0.15297600907892514,-4.2368766439116445,-4.808541932810736,0.8054400314304158,9,9,10,9,9,9,9,8,9,9,9,5,49
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.7230762051002717,7.579788901078485,0.0972313760652888,3.791609246031746,5.235600093984964,0.7251080568017445,0.12185127728841152,-8.44272348590853,0.10447625896422501,-4.68330461904762,-5.960762951414328,0.7049868414978475,10,10,8,10,10,10,10,10,8,10,10,8,56
LinearRegression(),0.7060038077863131,7.809942314904012,0.3252186612655971,4.597771143223327,5.93153031308977,0.7070709325305519,-3.7737403887407956,-8.981267163011172,0.23693268630426503,-5.027100985187766,-6.626119624944645,-2.0885056946450984,11,11,12,11,11,11,12,12,10,11,12,12,69
"Ridge(alpha=0.0, solver='svd')",0.7060038077863076,7.809942314904085,0.3252186612656062,4.597771143223555,5.93153031308983,0.7070709325305464,-3.773740388740883,-8.981267163011124,0.23693268630427006,-5.0271009851877775,-6.626119624944584,-2.0885056946450957,12,12,13,12,12,12,13,11,11,12,11,11,69
"Lasso(alpha=0.6, max_iter=3000)",0.6849218567112694,8.085113335802983,0.1807597174533274,5.853472338219471,6.1805373104151355,0.6931020895583633,-3.725163864714516,-11.805461887924574,0.2859529177362921,-6.821265463186515,-8.48869972702076,-3.2978099488791512,13,13,11,13,13,13,11,13,12,13,13,13,75
