,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
SVR,0.988473962,0.670110272,0.007726346,0.472024499,0.524808798,0.988557636,0.931465731,1.02248128,0.00649444,0.424425429,0.602315743,0.943436822,0,0,4,5,4,0,0,0,0,0,0,0,0
MLPR,0.985103854,0.761803942,0.005935179,0.385000322,0.523214544,0.985173478,0.721523061,1.232265884,0.006907598,0.5931806,0.713574528,0.92807673,1,1,3,3,3,2,5,1,1,2,1,1,11
XGBR,0.978997563,0.904567752,0.004565163,0.21735569,0.520869393,0.98101183,0.841721033,2.536417762,0.014177897,0.548316091,1.120137123,0.887263336,4,4,1,0,1,4,1,3,2,1,4,4,15
GBR,0.982871492,0.816894607,0.004782802,0.280412338,0.522410015,0.985223444,0.819213107,2.279410522,0.015107249,0.741081688,1.100847468,0.897931637,3,3,2,1,2,1,3,2,4,3,3,3,18
CTBR,0.983926935,0.791326318,0.004514901,0.303897156,0.513530729,0.984929561,0.835812889,2.953705162,0.014709713,0.781509202,1.033326905,0.920928948,2,2,0,2,0,3,2,4,3,5,2,2,18
ETR,0.960169666,1.245699334,0.013428953,0.464016393,0.832903531,0.96291464,0.745076775,2.959060742,0.026146903,0.991565574,1.556400407,0.783496875,5,5,5,4,5,5,4,5,5,6,5,5,30
RFR,0.941670493,1.507476013,0.016916799,0.531957143,1.000006593,0.946885205,0.640489507,3.320258941,0.031623866,1.062082857,1.671914934,0.740616884,7,7,6,6,6,6,6,6,6,7,6,6,37
DTR,0.94185221,1.505126017,0.021978854,0.56,1.027788462,0.945155687,0.606068151,3.336100989,0.032910522,0.7575,1.709665577,0.673386291,6,6,7,7,7,7,7,7,7,4,7,8,40
LGBR,0.739158971,3.187823065,0.051946771,1.160973439,2.221455713,0.753458442,0.414988784,4.060068212,0.05703843,1.970260615,2.300751931,0.671953108,13,13,9,8,11,13,8,9,8,8,8,9,50
ADBR,0.873282413,2.221900995,0.06105058,1.257259615,1.715068854,0.90907135,-0.162763835,3.841696028,0.090905896,2.235509201,2.573229828,0.683917385,8,8,10,10,9,8,10,8,10,9,10,7,54
BR,0.870593295,2.245353092,0.040838851,1.2303,1.578880801,0.879031423,0.320889981,4.231233413,0.060322464,2.262045405,2.545801318,0.560810117,9,9,8,9,8,9,9,12,9,10,9,10,59
Ridge,0.786462708,2.884317872,0.117931515,1.485948421,2.125742175,0.786539349,-1.031147624,4.190446819,0.126957373,2.743386982,2.882179794,-0.174051049,10,10,11,12,10,10,12,11,11,11,11,12,68
LR,0.77500627,2.960679957,0.146074202,1.483442739,2.230532056,0.775101438,-1.009165344,4.182586849,0.134685509,2.75540975,2.891195456,-0.223692656,11,11,13,11,12,11,11,10,12,12,12,13,70
Lasso,0.766534196,3.01590665,0.123597335,1.869281255,2.34574822,0.768954347,-1.14566238,4.69277786,0.144282733,3.142567205,3.175169902,-0.128424935,12,12,12,13,13,12,13,13,13,13,13,11,76
