,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
"SVR(C=1.3, cache_size=2000, epsilon=0.09, gamma=4, kernel='poly')",0.9884739622125459,0.6701102722840941,0.007726346184697021,0.47202449946985414,0.5248087976297852,0.9885576360466165,0.931465731375738,-1.022481279765221,0.0064944402657831695,-0.4244254289139531,-0.6023157433795635,0.9434368223170617,0,0,4,5,4,0,0,0,0,0,0,0,0
"MLPRegressor(hidden_layer_sizes=(70, 7), max_iter=60, solver='lbfgs')",0.9851038540215435,0.7618039421194165,0.005935179113844617,0.3850003218948075,0.5232145441885426,0.9851734784932613,0.7215230614673945,-1.232265884170848,0.006907597878470744,-0.5931806002437506,-0.7135745275415841,0.9280767295520853,1,1,3,3,3,2,5,1,1,2,1,1,11
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9789975630335896,0.9045677516490755,0.0045651630051883685,0.21735569000244137,0.5208693933486939,0.9810118303385318,0.8417210330667295,-2.53641776216621,0.014177897194251464,-0.5483160905838014,-1.1201371229988297,0.8872633363326144,4,4,1,0,1,4,1,3,2,1,4,4,15
"GradientBoostingRegressor(learning_rate=0.07, n_estimators=350, subsample=0.8)",0.9828714915676298,0.8168946067018047,0.004782801683424328,0.28041233776632657,0.5224100149426649,0.9852234437569413,0.8192131071246156,-2.2794105216792793,0.01510724920319679,-0.7410816883921036,-1.1008474679054383,0.8979316368730293,3,3,2,1,2,1,3,2,4,3,3,3,18
<catboost.core.CatBoostRegressor object at 0x000001CC6EAA0FA0>,0.9839269347498634,0.7913263179596817,0.004514901329266003,0.303897155914429,0.5135307285385529,0.9849295605472856,0.8358128885043282,-2.953705161612498,0.014709713375939192,-0.7815092024650987,-1.0333269053818233,0.9209289483164491,2,2,0,2,0,3,2,4,3,5,2,2,18
"ExtraTreesRegressor(max_depth=20, n_estimators=61, n_jobs=-3)",0.9601696655969851,1.245699333769262,0.013428952699346285,0.4640163934426278,0.8329035308953342,0.9629146397553522,0.74507677545068,-2.9590607420902977,0.026146903256974326,-0.9915655737704923,-1.5564004071573982,0.7834968749159459,5,5,5,4,5,5,4,5,5,6,5,5,30
"RandomForestRegressor(max_depth=14, n_estimators=350)",0.9416704925771238,1.5074760129147424,0.016916799130817402,0.5319571428571452,1.0000065934065898,0.9468852050980183,0.6404895072784611,-3.3202589412898904,0.03162386569211616,-1.0620828571428589,-1.671914933706813,0.7406168840495567,7,7,6,6,6,6,6,6,6,7,6,6,37
DecisionTreeRegressor(max_depth=10),0.9418522099157927,1.5051260169577418,0.02197885409794131,0.5599999999999996,1.0277884615384614,0.9451556870703208,0.606068150619653,-3.336100988812037,0.03291052162504741,-0.7575000000000005,-1.709665577342048,0.6733862908602147,6,6,7,7,7,7,7,7,7,4,7,8,40
"LGBMRegressor(learning_rate=0.05, max_depth=19, n_estimators=200, num_leaves=8)",0.7391589706319974,3.187823064971422,0.05194677109858186,1.1609734391983981,2.2214557129806622,0.7534584424649099,0.4149887844703978,-4.060068212260832,0.057038429644277744,-1.9702606150893793,-2.3007519307920723,0.6719531083155539,13,13,9,8,11,13,8,9,8,8,8,9,50
AdaBoostRegressor(loss='exponential'),0.8732824127249874,2.2219009953218483,0.06105058028379411,1.2572596153846147,1.715068853892721,0.9090713504103283,-0.16276383459148142,-3.841696028301942,0.09090589584001267,-2.2355092006574773,-2.573229828324602,0.6839173853450232,8,8,10,10,9,8,10,8,10,9,10,7,54
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.8705932949370248,2.245353092349686,0.04083885131338934,1.2302999999999997,1.5788808012820517,0.8790314226286698,0.3208899806636502,-4.231233412750425,0.0603224644116548,-2.262045404761905,-2.5458013182384063,0.5608101168880701,9,9,8,9,8,9,9,12,9,10,9,10,59
"Ridge(alpha=0.001, solver='sag')",0.7864627083840323,2.8843178715433964,0.11793151489047612,1.4859484209645086,2.1257421752884635,0.7865393488180343,-1.0311476240311805,-4.190446819293269,0.12695737319145933,-2.7433869818792846,-2.882179793524839,-0.17405104943649716,10,10,11,12,10,10,12,11,11,11,11,12,68
LinearRegression(),0.7750062700796094,2.960679956606827,0.14607420185724848,1.4834427394919387,2.230532055543081,0.7751014377601759,-1.0091653441854491,-4.182586848815667,0.13468550921115147,-2.755409750127624,-2.8911954557496857,-0.2236926556347369,11,11,13,11,12,11,11,10,12,12,12,13,70
"Lasso(alpha=0.1, max_iter=4000)",0.766534196015247,3.0159066496151388,0.12359733473713014,1.8692812545546214,2.3457482200756075,0.768954346990212,-1.1456623797826848,-4.692777860028225,0.1442827334684349,-3.1425672051578517,-3.1751699017238906,-0.12842493522761284,12,12,12,13,13,12,13,13,13,13,13,11,76
