,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
MLPR,0.930003866,0.194682474,0.008517385,0.095915747,0.142737516,0.934093073,0.810744116,0.223430171,0.01033596,0.135817894,0.165206069,0.73298366,1,1,3,4,4,1,0,0,0,1,0,3,4
CTBR,0.940547349,0.179421896,0.006510842,0.063110468,0.110569261,0.940551976,0.711867351,0.335380376,0.010806753,0.191130401,0.218429243,0.824330068,0,0,0,0,0,0,2,1,1,2,3,1,10
GBR,0.9241275,0.202689861,0.006955104,0.073037984,0.135031815,0.926228049,0.717243898,0.342189957,0.011253505,0.193452753,0.213253052,0.831164946,4,4,1,1,1,3,1,2,2,3,2,0,10
SVR,0.910009664,0.220743419,0.012126407,0.144054195,0.165853902,0.921137263,0.483012443,0.407221669,0.012102924,0.128691533,0.201793403,0.804651475,5,5,5,6,5,5,4,4,3,0,1,2,14
XGBR,0.925903196,0.200303974,0.00770125,0.089159093,0.137762073,0.925905417,0.511405915,0.371625269,0.014951427,0.20780787,0.24532517,0.707962619,3,3,2,2,2,4,3,3,4,4,4,4,22
ETR,0.92819471,0.197182355,0.008680624,0.091049383,0.141415638,0.92820612,0.075367401,0.434444954,0.021590312,0.236265432,0.26,0.692162873,2,2,4,3,3,2,7,5,6,5,5,5,33
RFR,0.813830041,0.317500658,0.015006064,0.1371,0.205913333,0.814873216,0.173330008,0.474464725,0.021556558,0.25271,0.301668,0.690838852,7,7,7,5,6,7,5,8,5,6,6,6,36
DTR,0.868278769,0.267065457,0.012420514,0.155,0.20725,0.868285554,0.120610786,0.461778085,0.023905435,0.271,0.3241,0.484547565,6,6,6,7,7,6,6,7,7,7,7,7,41
ADBR,0.766372913,0.355673432,0.024734462,0.267807692,0.290008264,0.797545137,-0.196066458,0.456087728,0.026719213,0.34829351,0.371313995,0.462044682,8,8,8,10,8,8,8,6,8,9,8,9,48
BR,0.428010442,0.556523976,0.04253392,0.236393619,0.362539243,0.459595942,-0.417355564,0.614673403,0.038841645,0.357491311,0.413571621,0.468445157,10,10,10,8,9,11,9,9,10,10,10,8,56
LGBR,0.496339134,0.522226532,0.041040047,0.24872533,0.367561133,0.528349646,-0.706122509,0.623369239,0.036791665,0.312853973,0.401116909,-0.115355063,9,9,9,9,10,9,10,10,9,8,9,11,57
LR,0.19733622,0.659259903,0.070188451,0.482142952,0.532458952,0.200539773,-3.924440662,0.850959021,0.074082604,0.525815422,0.623406077,-2.002046066,13,13,13,13,13,13,13,11,11,12,11,13,71
Ridge,0.387318543,0.575979726,0.061449735,0.43765111,0.49360233,0.432281432,-2.614909902,0.876184504,0.088444504,0.512338697,0.637832301,-1.254854669,11,11,11,11,12,12,12,12,12,11,12,12,71
Lasso,0.300167316,0.615583456,0.062675444,0.458419822,0.493528752,0.463175874,-1.247068747,1.004309563,0.099515889,0.526210487,0.645401678,-0.027545985,12,12,12,12,11,10,11,13,13,13,13,10,73
