,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x0000017A31246160>,0.9858126047053855,1.7201130540417342,0.008589907996301705,0.33279385554473784,0.8441792345424298,0.9858129841285512,0.9893790033479458,-1.3057863716052458,0.00969952960638888,-0.30544215511957973,-0.6446558821476466,0.989619390704787,0,0,0,0,0,0,0,0,0,0,0,0,0
"GradientBoostingRegressor(learning_rate=0.11, n_estimators=500, subsample=0.6)",0.9763213092231527,2.222206942643055,0.010979149855111791,0.41302669319217244,1.0355173993008202,0.9764175142222333,0.9829945018472088,-1.5275778137603926,0.014743620209388617,-0.3853207765080253,-0.8111823173999444,0.98665658536307,1,1,1,1,1,1,1,1,2,2,1,1,8
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=650, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9714793702916824,2.438850685074404,0.013706768054999445,0.4698904991149906,1.1267874537260478,0.9714947105521842,0.9800199658402653,-1.7123532558135912,0.01131927873943066,-0.3349775137007236,-0.8133853288331319,0.9802550092088331,2,2,2,2,2,2,2,2,1,1,2,2,10
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-3)",0.9507309074478756,3.2054790201628665,0.01729566359038687,0.6194156996131781,1.5512928508479065,0.9512795209646436,0.9785445521823434,-1.9372425034556662,0.016333235803390803,-0.4480160973158469,-1.0235862424117592,0.9788719148765533,3,3,3,4,3,3,3,3,3,3,3,3,18
"LGBMRegressor(learning_rate=0.11, max_depth=13, n_estimators=650, num_leaves=5)",0.9321201135538202,3.762497418498769,0.04214118594934636,0.8332254683678855,2.0156428513207922,0.9322408039794503,0.9713601627474778,-2.109670048061303,0.03349180324645556,-0.606450506519554,-1.2038282357262378,0.9720084736806104,4,4,7,8,7,4,4,4,5,6,4,4,27
"RandomForestRegressor(max_depth=22, n_estimators=50)",0.9276154445073134,3.8853362758548498,0.03392271698266033,0.6924000000000028,1.9912495674300257,0.9276344698397218,0.9504777882283297,-2.8895069719106052,0.026597130186905803,-0.5125666666666692,-1.4227145997181112,0.9472935273205142,5,5,5,5,6,5,5,6,4,4,5,5,29
"SVR(C=1.6, cache_size=4000, epsilon=0.01, gamma=4, kernel='poly')",0.8981886563069841,4.607907386374357,0.027558202824493193,0.501494008126155,1.8347330319300854,0.9025479466286489,0.9407624762488387,-3.2029756569046732,0.03652693026028293,-0.5844948289469809,-1.4501334464096782,0.9418945293637065,7,7,4,3,4,7,6,8,7,5,6,6,38
DecisionTreeRegressor(max_depth=15),0.8941664335476471,4.6980471688796195,0.03544174456995331,0.6999999999999993,2.1810432569974556,0.8941672794974452,0.898276500869339,-3.115306957376111,0.03374913774086588,-0.6154999999999997,-1.567287420718816,0.9359317797340209,8,8,6,6,8,8,7,7,6,7,7,8,42
"MLPRegressor(activation='logistic', alpha=0.01, hidden_layer_sizes=(30, 9),
             max_iter=60, solver='lbfgs')",0.9246543413547692,3.9640102965835564,0.0665560961846764,0.8117316888457392,1.8642102246785164,0.925134821219918,0.8533230566919296,-2.715609255742124,0.08254988946663538,-1.1299688821487088,-1.74830976833322,0.9416800886677921,6,6,9,7,5,6,10,5,9,9,8,7,48
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.882999495423373,4.939688062258966,0.05006677534294432,1.0567333333333409,2.5493732133769536,0.8841806861818718,0.8930282159122122,-4.248145970214293,0.052815946834618856,-0.9663552326839817,-2.280867165948444,0.8939030522989244,9,9,8,9,9,9,8,9,8,8,9,9,51
