index,viscosity,T,3d,4d,5d,CaO,Al2O3,SiO2,CaF2,MgO,OBforCaO,OBforAl2O3,OBforSiO2,OBforCaF2,OBforMgO
48,2.1,1873,1,0,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
199,5.61,1773,0,1,0,0.265,0.117,0.396,0.0,0.222,1,0.605,0.48,0.0,0.78
331,23.8,1623,0,1,0,0.312,0.057,0.486,0.0,0.145,1,0.605,0.48,0.0,0.78
249,8.12,1723,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
54,4.0,1823,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
326,32.2,1623,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
218,3.51,1823,0,1,0,0.441,0.115,0.343,0.0,0.102,1,0.605,0.48,0.0,0.78
378,0.54,1873,0,0,1,0.638,0.146,0.075,0.03,0.111,1,0.605,0.48,1.2,0.78
281,14.4,1673,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
398,0.57,1863,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
348,1.39,1773,0,0,1,0.53,0.178,0.129,0.083,0.08,1,0.605,0.48,1.2,0.78
321,28.8,1623,0,1,0,0.38,0.089,0.455,0.0,0.075,1,0.605,0.48,0.0,0.78
418,1.12,1803,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
190,2.81,1773,0,1,0,0.298,0.055,0.371,0.0,0.276,1,0.605,0.48,0.0,0.78
79,27.1,1773,1,0,0,0.358,0.197,0.445,0.0,0.0,1,0.605,0.48,0.0,0.0
235,5.92,1723,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
137,0.4,1873,1,0,0,0.48,0.135,0.0,0.385,0.0,1,0.605,0.0,1.2,0.0
292,24.3,1673,0,1,0,0.209,0.086,0.487,0.0,0.218,1,0.605,0.48,0.0,0.78
242,12.5,1723,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
209,3.82,1733,0,1,0,0.408,0.068,0.364,0.0,0.16,1,0.605,0.48,0.0,0.78
389,0.81,1873,0,0,1,0.599,0.15,0.153,0.023,0.076,1,0.605,0.48,1.2,0.78
297,5.26,1673,0,1,0,0.355,0.056,0.378,0.0,0.211,1,0.605,0.48,0.0,0.78
404,1.87,1843,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
188,2.98,1773,0,1,0,0.413,0.057,0.386,0.0,0.144,1,0.605,0.48,0.0,0.78
168,4.58,1773,0,1,0,0.363,0.057,0.436,0.0,0.144,1,0.605,0.48,0.0,0.78
406,0.65,1843,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
409,1.16,1833,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
339,1.09,1773,0,0,1,0.604,0.15,0.085,0.082,0.079,1,0.605,0.48,1.2,0.78
60,6.2,1823,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
206,5.8,1733,0,1,0,0.441,0.115,0.343,0.0,0.102,1,0.605,0.48,0.0,0.78
85,14.3,1773,1,0,0,0.389,0.092,0.519,0.0,0.0,1,0.605,0.48,0.0,0.0
423,1.03,1793,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
31,64.9,1714,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
17,38.4,1765,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
33,36.4,1714,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
332,20.9,1623,0,1,0,0.255,0.056,0.476,0.0,0.213,1,0.605,0.48,0.0,0.78
126,70.9,1673,1,0,0,0.342,0.125,0.532,0.0,0.0,1,0.605,0.48,0.0,0.0
6,11.8,1816,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
204,3.99,1733,0,1,0,0.431,0.087,0.336,0.0,0.147,1,0.605,0.48,0.0,0.78
277,8.79,1673,0,1,0,0.305,0.056,0.427,0.0,0.212,1,0.605,0.48,0.0,0.78
337,1.97,1773,0,0,1,0.46,0.147,0.22,0.024,0.149,1,0.605,0.48,1.2,0.78
35,1.6,1923,1,0,0,0.646,0.355,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
155,3.12,1773,0,1,0,0.408,0.068,0.364,0.0,0.16,1,0.605,0.48,0.0,0.78
138,1.35,1873,1,0,0,0.314,0.446,0.0,0.239,0.0,1,0.605,0.0,1.2,0.0
330,27.1,1623,0,1,0,0.372,0.058,0.496,0.0,0.074,1,0.605,0.48,0.0,0.78
198,6.94,1773,0,1,0,0.325,0.119,0.405,0.0,0.151,1,0.605,0.48,0.0,0.78
305,17.92,1673,0,1,0,0.388,0.122,0.413,0.0,0.077,1,0.605,0.48,0.0,0.78
239,9.45,1723,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
294,8.33,1673,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
307,12.83,1673,0,1,0,0.265,0.117,0.396,0.0,0.222,1,0.605,0.48,0.0,0.78
196,8.32,1773,0,1,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
275,10.6,1673,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
116,13.2,1673,1,0,0,0.497,0.091,0.412,0.0,0.0,1,0.605,0.48,0.0,0.0
146,3.29,1773,1,0,0,0.439,0.415,0.0,0.146,0.0,1,0.605,0.0,1.2,0.0
233,6.97,1723,0,1,0,0.423,0.058,0.445,0.0,0.074,1,0.605,0.48,0.0,0.78
435,1.81,1753,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
