,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
<catboost.core.CatBoostRegressor object at 0x000002841986E460>,0.977488953244166,2.166723541984246,0.01141026016494582,0.37215945941296535,1.0873809718646796,0.9776387614463359,0.9835480243417013,-1.5978793129175757,0.013498221870149549,-0.3296811581798738,-0.7931902835277914,0.9840506041243351,0,0,0,1,0,0,0,0,1,0,0,0,1
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.11, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=700, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.9655021484736986,2.6822649922748574,0.01512292267583376,0.3520700645446775,1.3300494896819575,0.9655847982671767,0.9804188292308293,-1.7264409689800266,0.012332824166095439,-0.395825752735138,-0.9204962370541206,0.9807909037646068,1,1,1,0,1,1,1,1,0,1,1,1,5
"GradientBoostingRegressor(learning_rate=0.09, n_estimators=700, subsample=0.6)",0.9610631260084502,2.8496150636920694,0.01892608456927882,0.6121932588596861,1.3976019121982068,0.9612799356312037,0.9783961366953744,-2.060175206150231,0.02147975039320889,-0.46740839366305587,-0.9913875751205128,0.9751551729206979,2,2,2,2,2,2,2,2,3,2,2,2,13
"ExtraTreesRegressor(max_depth=10, n_estimators=21, n_jobs=-3)",0.9493122936367299,3.251299497424134,0.020339163242739093,0.6500000000000008,1.6688336651745694,0.9508322538817371,0.9675098433355602,-2.226913091929662,0.021128764025941903,-0.5092435582936813,-1.2449355955557682,0.9659131856674088,3,3,3,3,3,3,3,3,2,3,3,3,17
"LGBMRegressor(learning_rate=0.13, max_depth=15, n_estimators=750, num_leaves=6)",0.9193297307364073,4.101685999617696,0.08516003512165714,1.0665317266012266,2.452253487555513,0.919369623145357,0.9648326507869734,-2.2926788068053705,0.0466648792266261,-0.7336522041103198,-1.3734786517196462,0.9655394381764255,4,4,9,7,7,4,4,4,6,6,4,4,28
"SVR(C=1.6, cache_size=2000, epsilon=0.01, gamma=4, kernel='poly')",0.9106116336704353,4.317637301947455,0.02677873086172778,0.6557696284180583,1.7356259318708527,0.9143396607024235,0.9423092407624141,-3.16804355900619,0.034218258035737734,-0.5885239801782448,-1.4588153927975005,0.9434523334147681,5,5,4,4,4,5,5,5,5,4,5,5,29
"RandomForestRegressor(max_depth=18, n_estimators=50)",0.8973702833577742,4.626389802003578,0.0344825991468966,0.9819999999999958,2.217090458015268,0.8999730826161294,0.9250954987272145,-3.1680463224520987,0.02306938359535804,-0.6489533333333332,-1.5293522919309375,0.9271850162218301,7,7,5,6,5,7,7,6,4,5,6,7,35
"MLPRegressor(activation='tanh', hidden_layer_sizes=(60, 6), max_iter=60,
             solver='lbfgs')",0.9020516236925624,4.519644516511663,0.0635335119751613,0.9152393089089523,2.376483831373022,0.9026660628260634,0.9387285311277388,-3.4468017553222694,0.09271152031591351,-1.1698723555379096,-1.7957317006803701,0.9412101635129713,6,6,6,5,6,6,6,7,9,8,7,6,43
"BaggingRegressor(max_features=0.7000000000000001,
                 max_samples=0.7000000000000001, n_estimators=50)",0.820385445058474,6.120352279886472,0.07105536493505718,1.492049999999999,3.1946043357236493,0.8252249876082168,0.858833608716721,-4.561549548920161,0.05399003128227838,-1.2431501172591108,-2.367450516998409,0.8522289191026386,8,8,7,9,9,9,8,8,7,9,8,8,48
"DecisionTreeRegressor(max_depth=20, min_samples_leaf=2, min_samples_split=5)",0.8149216494575189,6.212744123245742,0.07166891847964825,1.3250000000000028,3.1805407124681935,0.8215977047082323,0.7630920865714866,-6.05579955516421,0.05779695628216254,-0.8851666666666667,-2.6686784707540516,0.7703746846077577,9,9,8,8,8,10,10,10,8,7,9,10,54
AdaBoostRegressor(),0.810827221825757,6.281089445750237,0.293499428264585,3.059387755102051,4.572847642271543,0.8255728292225941,0.787501349231835,-5.387651824003958,0.3848892376319607,-3.8101905918551715,-4.606068025872594,0.8449249838514564,10,10,13,11,10,8,9,9,11,13,10,9,61
"Ridge(alpha=0.1, solver='saga')",0.6725564943189304,8.263686780679395,0.28088330948768236,3.168536491249353,4.846403946256339,0.6807508459460516,0.6531238639514202,-7.376380530877783,0.4693757296089176,-3.7874784226537246,-5.045658406509372,0.6625692511980914,12,12,11,13,11,12,11,11,12,12,12,11,69
"Lasso(alpha=0.1, max_iter=3100)",0.6089193307638392,9.031062168577341,0.26550553433915147,2.726858516635456,5.105170853890015,0.6236558333133475,0.6191055863675162,-7.796184120312231,0.3591187708588175,-3.610139459490719,-5.006416867820983,0.6285994246629457,13,13,10,10,13,13,13,13,10,10,11,13,70
LinearRegression(),0.6769644854169791,8.207876113529982,0.28343381656690236,3.0953125,4.8675405534351155,0.6839140237135983,0.6511517505129396,-7.384363529417569,0.48018601523606924,-3.7557900390625,-5.079581682330206,0.6604206164474197,11,11,12,12,12,11,12,12,13,11,13,12,73
