,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.934482488,3.731354275,0.017851861,0.6125,1.672038372,0.936891315,0.966653972,-2.468225346,0.014076194,-0.388305,-1.160335581,0.964205439,0,0,0,1,0,0,1,1,0,0,1,1,5
<catboost.core.CatBoostRegressor object at 0x000001E556E0C1C0>,0.923929005,4.020659867,0.021935446,0.56985489,1.864409694,0.925252827,0.970424241,-2.173638636,0.014551572,-0.398808346,-0.950108171,0.970988337,2,2,1,0,1,2,0,0,1,1,0,0,10
GradientBoostingRegressor(),0.931390278,3.81839294,0.033835046,0.872710422,2.097523178,0.932135527,0.948050692,-2.899472424,0.030166917,-0.803265297,-1.586772508,0.947146769,1,1,2,4,2,1,2,2,5,6,3,2,31
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.890033066,4.834135792,0.040368926,0.879524231,2.516621353,0.890081681,0.946121927,-2.97998136,0.018138506,-0.446244784,-1.363671283,0.946814658,3,3,5,5,4,3,3,3,2,2,2,3,38
BaggingRegressor(),0.870991735,5.235962825,0.037956047,0.851,2.456170543,0.877229298,0.922937739,-3.962842783,0.029028688,-0.69335,-1.799739037,0.905545299,4,4,3,2,3,4,6,6,4,3,5,6,50
RandomForestRegressor(),0.850435198,5.637706825,0.039530667,0.8574,2.593553527,0.854888441,0.931574586,-3.261905434,0.022530679,-0.7128075,-1.621882785,0.933682477,5,5,4,3,5,5,4,4,3,4,4,4,50
LGBMRegressor(),0.813166066,6.301089777,0.071545503,1.202775556,3.356159069,0.814367996,0.926116072,-3.347080451,0.052882907,-0.795510466,-1.806838928,0.92761246,7,7,7,6,7,7,5,5,7,5,6,5,74
DecisionTreeRegressor(),0.819665464,6.190521574,0.068157908,1.3,3.335581395,0.823974967,0.862115373,-5.001474385,0.050219798,-0.87025,-2.402862126,0.855540734,6,6,6,7,6,6,7,7,6,7,7,7,78
AdaBoostRegressor(),0.757588992,7.177347227,0.287017517,3.06047619,4.784577215,0.766939906,0.789814544,-5.867845007,0.377862391,-3.508304767,-4.509033263,0.848263584,8,8,9,9,8,8,8,8,9,9,9,8,101
SVR(),0.443538863,10.87439759,0.168024982,1.480265026,4.936644307,0.511162036,0.57627197,-8.491428857,0.112555245,-1.138576489,-3.617979503,0.616183444,11,11,8,8,9,9,9,9,8,8,8,9,107
Ridge(),0.475181918,10.56068729,0.439308421,5.1121086,6.946055353,0.48441053,0.523111413,-8.856720236,0.492397939,-4.980644228,-6.150847552,0.53444495,10,10,11,12,11,11,10,10,11,12,10,10,128
MLPRegressor(),0.272594814,12.43300145,0.393352109,3.801958292,6.772922062,0.302790842,0.38487351,-10.31882642,0.414746005,-4.074806938,-6.153448448,0.392430712,12,12,10,10,10,12,12,12,10,10,11,12,133
LinearRegression(),0.483225459,10.47944645,0.45067865,5.355217477,7.021437941,0.491539786,0.520994714,-8.862931038,0.510092964,-4.976841585,-6.223288709,0.532522747,9,9,12,13,12,10,11,11,12,11,12,11,133
Lasso(),0.195729672,13.07340788,0.594051619,4.114947706,7.601179867,0.213169436,0.274719757,-11.02307435,0.639429645,-4.995366717,-7.017515523,0.287674012,13,13,13,11,13,13,13,13,13,13,13,13,154
