,R2,RMSE,MSLE,MEDAE,MAE,EVS,10kf_R2,10kf_RMSE,10kf_MSLE,10kf_MEDAE,10kf_MAE,10kf_EVS,R2_sort,RMSE_sort,MSLE_sort,MEDAE_sort,MAE_sort,EVS_sort,10kf_R2_sort,10kf_RMSE_sort,10kf_MSLE_sort,10kf_MEDAE_sort,10kf_MAE_sort,10kf_EVS_sort,sort_score
ExtraTreesRegressor(),0.9344824883353214,3.731354275135199,0.017851861294757847,0.612500000000006,1.6720383720930214,0.9368913152039271,0.9666539721974707,-2.468225345951984,0.014076193691219948,-0.388304999999999,-1.1603355813953495,0.9642054385128402,0,0,0,1,0,0,1,1,0,0,1,1,5
<catboost.core.CatBoostRegressor object at 0x000001E556E0C1C0>,0.923929005487843,4.02065986709322,0.021935446190938884,0.5698548901527456,1.8644096938732264,0.9252528265137212,0.9704242413984838,-2.1736386359740916,0.01455157169709487,-0.3988083460265196,-0.9501081706135549,0.9709883365055596,2,2,1,0,1,2,0,0,1,1,0,0,10
GradientBoostingRegressor(),0.9313902778024002,3.8183929399884775,0.03383504575244195,0.8727104218817612,2.0975231782430175,0.9321355268711277,0.9480506921871678,-2.8994724241494114,0.030166917262883147,-0.8032652966567063,-1.5867725084056967,0.9471467685733558,1,1,2,4,2,1,2,2,5,6,3,2,31
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=None, ...)",0.8900330662929534,4.834135791904207,0.04036892571038153,0.8795242309570312,2.516621352572774,0.8900816808266055,0.9461219270081646,-2.9799813597795564,0.018138505875490898,-0.44624478411674495,-1.3636712831510263,0.9468146582624553,3,3,5,5,4,3,3,3,2,2,2,3,38
BaggingRegressor(),0.8709917354484739,5.235962825431663,0.037956047410682515,0.8509999999999991,2.456170542635659,0.877229297580385,0.9229377387622248,-3.9628427834614457,0.029028687570480136,-0.6933499999999999,-1.7997390365448502,0.905545298787561,4,4,3,2,3,4,6,6,4,3,5,6,50
RandomForestRegressor(),0.8504351982717342,5.6377068252708105,0.03953066744662916,0.8574000000000006,2.5935535271317818,0.8548884413808797,0.931574585961038,-3.2619054335671054,0.022530679034727562,-0.7128075000000004,-1.6218827849891895,0.9336824773143604,5,5,4,3,5,5,4,4,3,4,4,4,50
LGBMRegressor(),0.8131660657559259,6.3010897774471095,0.07154550307166904,1.2027755563065767,3.356159069472254,0.8143679959715394,0.9261160722534434,-3.3470804511305388,0.052882906694618335,-0.7955104659364267,-1.8068389278732901,0.9276124602345666,7,7,7,6,7,7,5,5,7,5,6,5,74
DecisionTreeRegressor(),0.8196654638529934,6.190521574499284,0.06815790760503194,1.3000000000000007,3.335581395348837,0.8239749668994455,0.862115372512676,-5.001474385193581,0.05021979794738288,-0.8702499999999997,-2.4028621262458474,0.8555407337982033,6,6,6,7,6,6,7,7,6,7,7,7,78
AdaBoostRegressor(),0.757588991522653,7.17734722669683,0.2870175173996714,3.0604761904761926,4.784577214650791,0.7669399059459496,0.7898145443556047,-5.8678450069639885,0.3778623913019027,-3.5083047671134495,-4.509033263044811,0.8482635843864962,8,8,9,9,8,8,8,8,9,9,9,8,101
SVR(),0.4435388627134742,10.874397585185642,0.16802498221825943,1.480265025620009,4.936644307084077,0.5111620355245111,0.5762719704254555,-8.491428856708977,0.11255524509295646,-1.1385764888995786,-3.6179795027445336,0.6161834444315707,11,11,8,8,9,9,9,9,8,8,8,9,107
Ridge(),0.4751819177083314,10.560687287782523,0.43930842074294874,5.112108600480432,6.946055352579913,0.48441052980835175,0.5231114127709742,-8.856720235824202,0.4923979392145604,-4.980644227682255,-6.150847552351657,0.5344449496734256,10,10,11,12,11,11,10,10,11,12,10,10,128
MLPRegressor(),0.27259481435401356,12.43300145118034,0.39335210927516645,3.801958292483846,6.7729220615567485,0.30279084211073015,0.3848735096927336,-10.318826419691055,0.41474600504120734,-4.0748069383866525,-6.153448448270781,0.39243071161771725,12,12,10,10,10,12,12,12,10,10,11,12,133
LinearRegression(),0.4832254592917239,10.479446450394468,0.45067865015965514,5.355217476751076,7.021437940550043,0.4915397861453258,0.5209947140963116,-8.862931037708151,0.5100929642807345,-4.976841584770883,-6.223288708658375,0.5325227468927494,9,9,12,13,12,10,11,11,12,11,12,11,133
Lasso(),0.1957296721171501,13.073407884328207,0.5940516186433343,4.114947705864026,7.6011798674953335,0.21316943574912794,0.27471975660460524,-11.023074353832016,0.6394296449367628,-4.995366717219156,-7.017515522716219,0.2876740117782043,13,13,13,11,13,13,13,13,13,13,13,13,154
