,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41,result_42
0,2.1,1873,0.539,0.059,0.402,0.0,0.0,10.218571569992696,11.692489515834218,11.312689003223873,11.852353599408541,11.56642937744188,11.28622756258481,10.935897506209294,11.330609204179208,10.897647880973533,10.757305391090858,8.953544177646393,8.919165468935985,9.298970932414008,9.25985306602924,8.992723017396738,8.983254774696853,9.015090105331549,8.988192049481615,8.943900120658842,8.828656485223348,8.829391547632458,9.227693649390343,9.04953327417838,8.939433723860011,9.195385305542914,9.238650363691686,9.23791530128258,9.238650363691688,9.03937252243215,9.093309536891852,9.093309536891852,9.094034772391563,9.14378431817095,9.14378431817095,9.103142891511663,9.103868127011374,9.103868127011374,9.096513582182203,9.097238817681914,9.09755356482527,8.9036778203393,8.9036778203393,9.052980153851482
1,5.61,1773,0.265,0.117,0.396,0.0,0.222,10.218571569992696,11.517974746941169,11.245016090959936,11.742436600488247,11.730512378521585,11.579502597615473,11.887968173798768,11.59078961295014,11.65105852733098,11.41619074155011,11.2133985278974,11.320731670580221,11.024854630512186,11.03508741623056,11.192607179104504,11.196276028967551,11.050128480434235,11.014994050318803,11.065883103901026,10.883266797166996,10.888176785404614,11.274017668934142,11.108494700193631,10.915700526566614,10.805266043829413,10.852385267408884,10.84747527917127,10.852385267408888,10.77855763430945,10.779463927431117,10.779463927431117,10.784144511841149,10.784982448347266,10.784982448347266,10.683934467568179,10.68861505197821,10.896259411241452,10.683316138121128,10.68799672253116,10.688305963485053,10.638135142333315,10.638135142333315,10.702052709301881
2,23.8,1623,0.312,0.057,0.486,0.0,0.145,10.218571569992696,14.135696280336889,12.304007426579652,13.391191584292667,13.332267362326006,14.003452316856723,14.08721815551258,14.100486414925523,14.388864796480124,14.806802922629966,14.221976755717451,14.443530567323043,15.833116952168318,15.834831025010475,14.358455463686365,14.371225699877122,14.563598158561259,14.886913014674569,15.227787131231846,15.325840921351613,15.181860359764357,15.332144456083793,15.34284935708985,15.614857743596673,16.322061487283786,16.22350502528345,16.367485586870707,16.22350502528345,16.095773888686587,15.996169794639142,15.996169794639142,15.906229377914022,15.817724049071757,15.817724049071757,15.987598654467863,15.897658237742743,15.907583382802779,15.945618265512115,15.855677848786994,15.85607247841772,15.871668729712015,15.871668729712015,15.72239218695686
3,8.12,1723,0.2,0.055,0.467,0.0,0.278,10.218571569992696,13.583066178842238,12.072438159842173,13.043121087711736,13.096196865745073,13.133354793054005,13.67369911039864,13.161937499236942,13.464953737611182,13.24493434618963,13.672341516849858,13.874971735095382,13.698752082307893,13.879111602426633,13.76680156917201,13.778128052053432,13.801152721745694,13.7086515196061,13.941895514480269,14.600050022106476,14.506921345082265,14.759748512256053,14.660917308496604,14.624741028919733,14.481571568340453,14.433472501677837,14.526601178702052,14.43347250167784,14.497836922658461,14.447884062835072,14.447884062835072,14.38214064445981,14.337349888164013,14.337349888164013,14.480754718248342,14.415011299873079,14.468464386130412,14.463861776579225,14.398118358203963,14.398494465956624,14.444904549473314,14.444904549473314,14.414134474331073
4,4.0,1823,0.608,0.392,0.0,0.0,0.0,10.218571569992696,0.0,7.5679711251396915,4.487914671748791,4.132990449782128,4.100961910283508,4.052378945593595,4.333635487131079,4.2066581291435,4.333635487131079,4.4879146706809845,4.4879146706809845,5.083128747690511,5.083128747690511,5.333635487131079,5.333635487131079,5.333635487131079,5.333635487131079,5.333635487131079,5.873937792999218,5.848030745654627,5.873937792999218,5.873937792999218,5.848030745654627,5.873937792999218,5.848030745654627,5.873937792999218,5.848030745654627,6.337362111908028,6.337362111908028,6.337362111908028,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.337362111908028,6.3149753102838275,6.3149753102838275,6.337362111908028,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.3149753102838275,6.428782371265141
5,32.2,1623,0.157,0.115,0.438,0.0,0.29,10.218571569992696,12.739578129192505,11.727365194725607,12.51185559293031,12.607931370963648,13.124116325494366,13.207882164150224,13.13585916279768,13.505108446937653,13.772416015420198,13.260587907812615,13.460259861481854,14.771389722096435,14.740945980831604,13.289077364647621,13.300586342942996,13.532973518865631,13.75909632286821,13.94613728607461,13.617769489561187,13.611882811039624,13.987304801460418,13.786546650739943,13.9958697667617,14.545832785258643,14.584080818190248,14.589967496711811,14.584080818190248,14.481319514796022,14.40824695992098,14.40824695992098,14.402669861828796,14.336282410343102,14.336282410343102,14.429355230649898,14.423778132557715,14.631132858871753,14.4177426264335,14.412165528341315,14.41251387473829,14.544427166888811,14.544427166888811,14.393318005886744
6,3.51,1823,0.441,0.115,0.343,0.0,0.102,10.218571569992696,9.976427621719246,10.664548500708229,10.771503110025643,10.58357888805898,10.38455034856036,10.335967383870447,10.44403364179793,10.183892030415542,10.105043720666018,9.21069095127372,9.236741762018365,9.208670446062056,9.022434980722585,9.14181581156603,9.13883465837241,9.025550782953296,9.001666715490565,8.795725973855966,8.256077334855593,8.36743336595707,8.463783346970501,8.400571285132106,8.392893116089716,8.376087053912709,8.52615599873106,8.414799967629586,8.526155998731063,8.387730532145579,8.408349235551126,8.408349235551126,8.483456933058626,8.502897633539359,8.502897633539359,8.3438345832316,8.418942280739099,8.443532165937931,8.325789604471687,8.400897301979189,8.401159080493322,8.170763117072823,8.170763117072823,8.29854352360157
7,0.54,1873,0.638,0.146,0.075,0.03,0.111,10.218571569992696,2.1814346111631,8.157396130140606,5.861877158252476,5.476952936285813,5.295751121428742,4.945421065053228,5.639041031356476,5.053335712026842,5.532081364735515,5.321054504070053,5.314640565877813,5.8696664687210145,5.86413847024422,5.312231289476553,5.3104648262862755,5.296032913353954,5.309459771916982,5.294164734376175,5.554066625747771,5.551716246374011,5.480681191092237,5.481027432996621,5.570320315408224,5.574586082524696,5.575848448623593,5.50337526813723,5.50102488876347,5.692828578705925,5.6931815832104915,5.461938300104276,5.459655657204271,5.4600076702783165,5.468571399023459,5.451653060696618,5.4493704177966125,5.575496574175799,5.496351702448254,5.494069059548249,5.494104722340286,5.29891909493284,5.29988878226585,5.4512697915768875
8,14.4,1673,0.26,0.086,0.437,0.0,0.217,10.218571569992696,12.710492334376998,11.715643691259407,12.493536093110261,12.486611871143598,12.848347515737462,13.337359109277688,12.858842702587676,13.371780297704072,13.21903301674153,13.597860487309996,13.818761676256955,14.330213264643294,14.343324848691875,13.616786616037764,13.630265191417891,13.709206975580013,13.806921492214073,13.985304811893972,13.959447364361715,13.952780957641153,14.324846986071648,14.12614254586217,14.189545081231842,14.222581282743892,14.260012406180774,14.266678812901336,14.260012406180774,14.364820160946591,14.295608959485564,14.295608959485564,14.289322691533343,14.2264157990915,14.2264157990915,14.28274175982897,14.276455491876748,14.436204397667227,14.272373837564677,14.266087569612456,14.266434969744784,14.381010931419954,14.381010931419954,14.272725598183339
9,0.57,1863,0.575,0.107,0.09,0.078,0.151,10.218571569992696,2.61772153339572,8.280679384951437,6.136669655553213,5.81474543358655,7.389113370635558,5.300032873278486,6.273886009372647,5.391370854205026,6.545474477453878,5.527423573612065,5.52213878852944,6.041647383787891,6.018977272808176,5.500262368307149,5.498364604837337,5.485966054644842,5.487149119807906,5.451498863753333,5.666947763493157,5.666176969974053,5.5776519830998055,5.578291581118422,5.683211689321912,5.700152454614072,5.7055691537170565,5.494756073867513,5.49398528034841,5.589314431630005,5.589891879303372,5.3730455243533735,5.372285364725015,5.37286047846372,5.389448645565798,5.364988270476624,5.3642281108482655,5.432384864885267,5.439192883957764,5.438432724329406,5.438471872402048,5.191083416089683,5.19475152085196,5.34368123202689
