,complexity,loss,score,equation,sympy_format,lambda_format
0,1,56.32086905291814,0.0,10.218571569992696,10.218571569992696,PySRFunction(X=>10.218571569992696)
1,3,25.80387557823579,0.39027022275044887,(29.085794815508002 * SiO2),29.085794815508002*SiO2,PySRFunction(X=>29.085794815508002*SiO2)
2,4,11.414232495066178,0.8156636556607366,(exp(SiO2) * 7.5679711251396915),7.5679711251396915*exp(SiO2),PySRFunction(X=>7.5679711251396915*exp(SiO2))
3,5,3.874984461671388,1.0803193882901834,((18.31949982004913 * SiO2) + 4.487914671748791),18.31949982004913*SiO2 + 4.487914671748791,PySRFunction(X=>18.31949982004913*SiO2 + 4.487914671748791)
4,7,3.740821925782668,0.01761814968629527,(((18.31949982004913 * SiO2) + 4.740990449782128) - CaO),-CaO + 18.31949982004913*SiO2 + 4.740990449782128,PySRFunction(X=>-CaO + 18.31949982004913*SiO2 + 4.740990449782128)
5,8,2.945693158359505,0.23896119626053713,(((18.31949982004913 * SiO2) + 4.740990449782128) - cos(T)),18.31949982004913*SiO2 - cos(T) + 4.740990449782128,PySRFunction(X=>18.31949982004913*SiO2 - cos(T) + 4.740990449782128)
6,9,2.621213495901033,0.11670678035387953,((18.31949982004913 * SiO2) + (4.333635487131079 - cos(sqrt(T)))),18.31949982004913*SiO2 - cos(sqrt(T)) + 4.333635487131079,PySRFunction(X=>18.31949982004913*SiO2 - cos(sqrt(T)) + 4.333635487131079)
7,10,2.4841025914719013,0.05372591278602176,((((8.44103334810924 - cos(T)) / 0.4379002123306528) * SiO2) + 4.333635487131079),SiO2*(19.27615723953001 - 2.283625291428068*cos(T)) + 4.333635487131079,PySRFunction(X=>SiO2*(19.27615723953001 - 2.283625291428068*cos(T)) + 4.333635487131079)
8,11,2.196654254409625,0.1229760547990221,(((18.31949982004913 * SiO2) + 4.4879146706809845) - cos(sqrt(T) + SiO2)),18.31949982004913*SiO2 - cos(SiO2 + sqrt(T)) + 4.4879146706809845,PySRFunction(X=>18.31949982004913*SiO2 - cos(SiO2 + sqrt(T)) + 4.4879146706809845)
9,12,1.7835307309186283,0.20834045298512657,((((8.69310504380635 - (cos(T) * 2.0700340536214634)) / 0.4379002123306528) * SiO2) + 4.333635487131079),SiO2*(19.85179453907709 - 4.7271821189673399*cos(T)) + 4.333635487131079,PySRFunction(X=>SiO2*(19.85179453907709 - 4.7271821189673399*cos(T)) + 4.333635487131079)
10,13,0.9123714092892756,0.6703030811314933,((((8.44103334810924 - (cos(sqrt(T)) / 0.32818174710559467)) / 0.5508028082551798) * SiO2) + 4.4879146706809845),SiO2*(15.32496425508168 - 5.5320924784700007*cos(sqrt(T))) + 4.4879146706809845,PySRFunction(X=>SiO2*(15.32496425508168 - 5.5320924784700007*cos(sqrt(T))) + 4.4879146706809845)
11,14,0.8889188751870238,0.026041176857325127,((((inv(0.12427723928738424) - (cos(sqrt(T)) / 0.32818174710559467)) / 0.5192866086279737) * SiO2) + 4.4879146706809845),SiO2*(15.495346052653003 - 5.8678425787244322*cos(sqrt(T))) + 4.4879146706809845,PySRFunction(X=>SiO2*(15.495346052653003 - 5.8678425787244322*cos(sqrt(T))) + 4.4879146706809845)
