,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.6269380890774725,0.0,1.246218524753825,1.246218524753825,PySRFunction(X=>1.246218524753825)
1,2,0.4839789305856058,0.2588064203332524,exp(Al2O3),exp(Al2O3),PySRFunction(X=>exp(Al2O3))
2,3,0.0433172262426099,2.413490983325663,(Al2O3 / CaF2),Al2O3/CaF2,PySRFunction(X=>Al2O3/CaF2)
3,4,0.0413816691182419,0.04571238273969366,(sin(Al2O3) / CaF2),sin(Al2O3)/CaF2,PySRFunction(X=>sin(Al2O3)/CaF2)
4,5,0.0413816691182419,-0.0,(inv(CaF2) * sin(Al2O3)),sin(Al2O3)/CaF2,PySRFunction(X=>sin(Al2O3)/CaF2)
5,6,0.009680331756456,1.452741834793456,(sin(-0.43791078053002286 * T) / CaF2),-sin(0.43791078053002286*T)/CaF2,PySRFunction(X=>-sin(0.43791078053002286*T)/CaF2)
6,8,0.0023569989493497,0.706353497432955,(((sin(T) / CaF2) * 0.570026044325661) - CaO),-CaO + 0.570026044325661*sin(T)/CaF2,PySRFunction(X=>-CaO + 0.570026044325661*sin(T)/CaF2)
7,9,0.0017821358707969,0.2795766058159878,(((sin(T) / sin(CaF2)) * 0.570026044325661) - CaO),-CaO + 0.570026044325661*sin(T)/sin(CaF2),PySRFunction(X=>-CaO + 0.570026044325661*sin(T)/sin(CaF2))
8,10,0.0015380529886999,0.14729524889966714,(((sin(T) / sin(sin(CaF2))) * 0.570026044325661) - CaO),-CaO + 0.570026044325661*sin(T)/sin(sin(CaF2)),PySRFunction(X=>-CaO + 0.570026044325661*sin(T)/sin(sin(CaF2)))
9,11,0.0012444581863558,0.21181707996959415,((((sin(T) / CaF2) * 0.570026044325661) - CaO) + cube(CaF2)),CaF2**3 - CaO + 0.570026044325661*sin(T)/CaF2,PySRFunction(X=>CaF2**3 - CaO + 0.570026044325661*sin(T)/CaF2)
10,12,0.0009520705488626,0.2678163844995724,(((sin(T - CaF2) / CaF2) * (Al2O3 + 0.10453599446928508)) + CaF2),CaF2 - (Al2O3 + 0.10453599446928508)*sin(CaF2 - T)/CaF2,PySRFunction(X=>CaF2 - (Al2O3 + 0.10453599446928508)*sin(CaF2 - T)/CaF2)
