,complexity,loss,score,equation,sympy_format,lambda_format
0,1,51.621771704464784,0.0,9.857686854892119,9.857686854892119,PySRFunction(X=>9.857686854892119)
1,3,27.44141536493838,0.3159450669369207,(SiO2 / 0.040903014030085186),24.448076106677006*SiO2,PySRFunction(X=>24.448076106677006*SiO2)
2,5,27.053968168387637,0.007109844905733062,((SiO2 / 0.040903014030085186) - CaO),-CaO + 24.448076106677006*SiO2,PySRFunction(X=>-CaO + 24.448076106677006*SiO2)
3,6,4.79721771651307,1.7297975846077573,((0.3686449058919393 ^ cos(T)) / 0.0944591095522848),10.5865914334761*0.3686449058919393**cos(T),PySRFunction(X=>10.5865914334761*0.3686449058919393**cos(T))
4,7,2.557385285395581,0.6290507438207488,(exp(SiO2 - cos(T)) / 0.14307627099732867),6.9892791657861328*exp(SiO2 - cos(T)),PySRFunction(X=>6.9892791657861328*exp(SiO2 - cos(T)))
5,8,2.0814956230347232,0.20589867878549784,(exp(exp(SiO2) - cos(T)) / 0.4323774736650826),2.312793937952917*exp(exp(SiO2) - cos(T)),PySRFunction(X=>2.312793937952917*exp(exp(SiO2) - cos(T)))
6,9,1.9528466703814644,0.06379854583372047,(exp(exp(SiO2) - sin(cos(T))) / 0.43206016394247226),2.3144924791843284*exp(exp(SiO2) - sin(cos(T))),PySRFunction(X=>2.3144924791843284*exp(exp(SiO2) - sin(cos(T))))
7,10,1.2796810570644188,0.4226772663091083,(exp(exp(SiO2 + Al2O3) - cos(T)) / 0.4921749907031118),2.031797671335187*exp(exp(Al2O3 + SiO2) - cos(T)),PySRFunction(X=>2.031797671335187*exp(exp(Al2O3 + SiO2) - cos(T)))
8,11,1.1779409343518072,0.08284292935991013,(exp(exp(SiO2 + Al2O3) - sin(cos(T))) / 0.4921749907031118),2.031797671335187*exp(exp(Al2O3 + SiO2) - sin(cos(T))),PySRFunction(X=>2.031797671335187*exp(exp(Al2O3 + SiO2) - sin(cos(T))))
9,12,1.120477092104858,0.05001337365515895,(exp(exp(SiO2 + Al2O3) - sin(sin(cos(T)))) / 0.4921749907031118),2.031797671335187*exp(exp(Al2O3 + SiO2) - sin(sin(cos(T)))),PySRFunction(X=>2.031797671335187*exp(exp(Al2O3 + SiO2) - sin(sin(cos(T)))))
10,13,1.0926420005776527,0.025155952512298407,(exp(exp(SiO2 + Al2O3) - sin(sin(sin(cos(T))))) / 0.49323843829766073),2.0274170104247179*exp(exp(Al2O3 + SiO2) - sin(sin(sin(cos(T))))),PySRFunction(X=>2.0274170104247179*exp(exp(Al2O3 + SiO2) - sin(sin(sin(cos(T))))))
11,14,0.9391186951855032,0.15141201900077475,(exp(exp(SiO2) - cos(exp(SiO2 + Al2O3) - cos(T))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - cos(exp(Al2O3 + SiO2) - cos(T))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - cos(exp(Al2O3 + SiO2) - cos(T))))
12,15,0.7018914970868004,0.2911630476426837,(exp(exp(SiO2) - sin(cos(exp(SiO2 + Al2O3) - cos(T)))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - sin(cos(exp(Al2O3 + SiO2) - cos(T)))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - sin(cos(exp(Al2O3 + SiO2) - cos(T)))))
13,16,0.5629583820113359,0.22057312594514786,(exp(exp(SiO2) - sin(sin(cos(exp(SiO2 + Al2O3) - cos(T))))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - sin(sin(cos(exp(Al2O3 + SiO2) - cos(T))))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - sin(sin(cos(exp(Al2O3 + SiO2) - cos(T))))))
14,17,0.4865773748121976,0.14580977079310167,(exp(exp(SiO2) - sin(sin(sin(cos(exp(SiO2 + Al2O3) - cos(T)))))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - sin(sin(sin(cos(exp(Al2O3 + SiO2) - cos(T)))))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - sin(sin(sin(cos(exp(Al2O3 + SiO2) - cos(T)))))))
15,18,0.4528081468868047,0.07192741381883239,(exp(exp(SiO2) - sin(sin(sin(sin(cos(exp(SiO2 + Al2O3) - cos(T))))))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - sin(sin(sin(sin(cos(exp(Al2O3 + SiO2) - cos(T))))))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - sin(sin(sin(sin(cos(exp(Al2O3 + SiO2) - cos(T))))))))
16,19,0.4366577422920322,0.036318829149215165,(exp(exp(SiO2) - sin(sin(sin(cos(exp(SiO2 + Al2O3) - sin(sin(cos(T)))))))) / 0.4653569275734249),2.148888177542427*exp(exp(SiO2) - sin(sin(sin(cos(exp(Al2O3 + SiO2) - sin(sin(cos(T)))))))),PySRFunction(X=>2.148888177542427*exp(exp(SiO2) - sin(sin(sin(cos(exp(Al2O3 + SiO2) - sin(sin(cos(T)))))))))
17,20,0.4004648503056344,0.08652369169244516,(exp(exp(sin(sin(SiO2))) - sin(sin(cos(exp(SiO2 + (Al2O3 / 0.741317062018648)) - cos(T))))) / 0.4653569275734249),2.148888177542427*exp(exp(sin(sin(SiO2))) - sin(sin(cos(exp(1.34895047103994*Al2O3 + SiO2) - cos(T))))),PySRFunction(X=>2.148888177542427*exp(exp(sin(sin(SiO2))) - sin(sin(cos(exp(1.34895047103994*Al2O3 + SiO2) - cos(T))))))
