,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.74295555672566,0.0,1.8276688826259555,1.8276688826259555,PySRFunction(X=>1.8276688826259555)
1,2,2.657849800598419,0.03151855912457069,exp(CaO),exp(CaO),PySRFunction(X=>exp(CaO))
2,3,2.4067993136924533,0.09921967105593214,(MgO / 0.07911874383555274),12.63922999180177*MgO,PySRFunction(X=>12.63922999180177*MgO)
3,5,1.8000792673512398,0.1452335389303102,exp(cos(exp(log10(T)))),exp(cos(T**(1/log(10)))),PySRFunction(X=>exp(cos(T**(1/log(10)))))
4,6,1.2607199034824863,0.3561477915756343,inv(cos(sqrt(T)) + 0.7351262946001942),1/(cos(sqrt(T)) + 0.7351262946001942),PySRFunction(X=>1/(cos(sqrt(T)) + 0.7351262946001942))
5,7,1.1911450353660455,0.05676785068918618,inv(exp(cos(sqrt(T)) - CaO)),exp(CaO - cos(sqrt(T))),PySRFunction(X=>exp(CaO - cos(sqrt(T))))
6,8,1.108939580942373,0.07151083286605872,inv(exp(cube(cos(sqrt(T)) - CaO))),exp(-(-CaO + cos(sqrt(T)))**3),PySRFunction(X=>exp(-(-CaO + cos(sqrt(T)))**3))
7,9,0.981254437192527,0.12232771413507422,inv(exp(cos(sqrt(T)) - 0.37298896573238405) - MgO),1/(-MgO + 0.6886728318023572*exp(cos(sqrt(T)))),PySRFunction(X=>1/(-MgO + 0.6886728318023572*exp(cos(sqrt(T)))))
8,10,0.6538819957391727,0.4059048905387135,exp(inv(exp(cos(sqrt(T)))) - (CaF2 / MgO)),exp(-CaF2/MgO + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-CaF2/MgO + exp(-cos(sqrt(T)))))
9,12,0.4849248947722884,0.14946643886045213,(inv(exp(cos(sqrt(T)))) * inv(sin(exp(cos(inv(CaF2)))))),exp(-cos(sqrt(T)))/sin(exp(cos(1/CaF2))),PySRFunction(X=>exp(-cos(sqrt(T)))/sin(exp(cos(1/CaF2))))
10,13,0.3265682295164749,0.3953551234362694,exp(inv(exp(cos(sqrt(T)))) - cube(cos(sin(sqrt(inv(CaF2)))))),exp(-cos(sin(sqrt(1/CaF2)))**3 + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-cos(sin(sqrt(1/CaF2)))**3 + exp(-cos(sqrt(T)))))
11,14,0.3088191357745308,0.055883114957708854,exp(inv(exp(cos(sqrt(T)))) - cube(exp(cube(sin(sqrt(inv(CaF2))))))),exp(-exp(3*sin(sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-exp(3*sin(sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))))
12,15,0.2316498172166091,0.2875289615999177,exp(inv(exp(cos(sqrt(T)))) - cos(cube(sin(sqrt(inv(CaF2)))) - CaO)),exp(-cos(CaO - sin(sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-cos(CaO - sin(sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))))
13,16,0.1844557919865248,0.2278169978720993,exp((inv(exp(cos(sqrt(T)))) + MgO) - cube(cos(cube(sin(sqrt(inv(CaF2))))))),exp(MgO - cos(sin(sqrt(1/CaF2))**3)**3 + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(MgO - cos(sin(sqrt(1/CaF2))**3)**3 + exp(-cos(sqrt(T)))))
14,17,0.0810316546793511,0.8225699480993293,exp(inv(exp(cos(sqrt(T)))) - cos(cube(sin(sqrt(inv(CaF2) / 0.8923505692003574))) / 0.5851763952706122)),exp(-cos(1.708886428232558*sin(1.058600872249765*sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-cos(1.708886428232558*sin(1.058600872249765*sqrt(1/CaF2))**3) + exp(-cos(sqrt(T)))))
15,18,0.0636981270793587,0.24068471690310264,exp(inv(exp(cos(sqrt(T)))) - cube(cube(exp(cos(sqrt(inv(SiO2 * 1.0804224914346505))) ^ T)))),exp(-exp(9*cos(0.96206228969886142*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T)))),PySRFunction(X=>exp(-exp(9*cos(0.96206228969886142*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T)))))
16,19,0.0315194631227271,0.703549928001782,(exp(inv(exp(cos(sqrt(T)))) - cube(exp(cos(sqrt(inv(SiO2 * 1.0864303906915354))) ^ T))) ^ 1.1670859340300326),exp(-exp(3*cos(0.95939852666903586*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T))))**1.1670859340300326,PySRFunction(X=>exp(-exp(3*cos(0.95939852666903586*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T))))**1.1670859340300326)
17,21,0.0284757971341585,0.05077536440945252,((exp(inv(exp(cos(sqrt(T)))) - cube(exp(cos(sqrt(inv(SiO2 * 1.0864303906915354))) ^ T))) ^ 1.1670859340300326) + SiO2),SiO2 + exp(-exp(3*cos(0.95939852666903586*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T))))**1.1670859340300326,PySRFunction(X=>SiO2 + exp(-exp(3*cos(0.95939852666903586*sqrt(1/SiO2))**T) + exp(-cos(sqrt(T))))**1.1670859340300326)
18,23,0.0195708749844164,0.18750600610615611,(exp(inv(exp(cos(sqrt(T)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + Al2O3),Al2O3 + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))),PySRFunction(X=>Al2O3 + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))))
19,25,0.0192708953760636,0.007723272395495917,(exp(inv(exp(cos(sqrt(T + -0.9367239629394186)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + Al2O3),Al2O3 + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T - 0.9367239629394186)))),PySRFunction(X=>Al2O3 + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T - 0.9367239629394186)))))
20,26,0.0187553290750447,0.027118016743961783,(exp(inv(exp(cos(sqrt(T)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + (exp(Al2O3) * Al2O3)),Al2O3*exp(Al2O3) + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))),PySRFunction(X=>Al2O3*exp(Al2O3) + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))))
21,27,0.018363278012453,0.021125019130962822,(exp(inv(exp(cos(sqrt(T)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + ((Al2O3 * 0.3630698183373036) ^ CaO)),(0.3630698183373036*Al2O3)**CaO + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))),PySRFunction(X=>(0.3630698183373036*Al2O3)**CaO + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))))
22,28,0.017495365370105,0.04841690037885521,(exp(inv(exp(cos(sqrt(T)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + ((sqrt(SiO2) * Al2O3) ^ CaO)),(Al2O3*sqrt(SiO2))**CaO + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))),PySRFunction(X=>(Al2O3*sqrt(SiO2))**CaO + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))))
23,29,0.0164304728625369,0.06279829779081339,(exp(inv(exp(cos(sqrt(T)) - MgO)) - cube(exp(cos(sqrt(inv(SiO2 * 1.0868030339004409))) ^ T) + CaF2)) + ((Al2O3 * Al2O3) ^ (CaO ^ 1.3241956658381544))),(Al2O3**2)**(CaO**1.3241956658381544) + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))),PySRFunction(X=>(Al2O3**2)**(CaO**1.3241956658381544) + exp(-(CaF2 + exp(cos(0.95923403320252968*sqrt(1/SiO2))**T))**3 + exp(MgO - cos(sqrt(T)))))
24,34,0.0151327709998612,0.016455010996019134,((((inv(CaO) - sin(sqrt(CaF2 / cube(sin(sqrt(cube(sin(sin(cos(inv(sin(CaF2)))) - -0.9664108899898554)))))) + (cube(CaF2) ^ MgO))) * inv(exp(cos(sqrt(T))))) ^ 1.2759831310338539) + Al2O3),Al2O3 + ((-sin(sqrt(CaF2/sin(sqrt(sin(sin(cos(1/sin(CaF2))) + 0.9664108899898554)**3))**3) + (CaF2**3)**MgO) + 1/CaO)*exp(-cos(sqrt(T))))**1.2759831310338539,PySRFunction(X=>Al2O3 + ((-sin(sqrt(CaF2/sin(sqrt(sin(sin(cos(1/sin(CaF2))) + 0.9664108899898554)**3))**3) + (CaF2**3)**MgO) + 1/CaO)*exp(-cos(sqrt(T))))**1.2759831310338539)
25,35,0.0149149699778424,0.01449725200814179,((((inv(CaO) - sin(sqrt(CaF2 / cube(sin(sqrt(sin(cube(sin(sin(cos(inv(sin(CaF2)))) - -0.9664108899898554))))))) + (cube(CaF2) ^ MgO))) * inv(exp(cos(sqrt(T))))) ^ 1.2759831310338539) + Al2O3),Al2O3 + ((-sin(sqrt(CaF2/sin(sqrt(sin(sin(sin(cos(1/sin(CaF2))) + 0.9664108899898554)**3)))**3) + (CaF2**3)**MgO) + 1/CaO)*exp(-cos(sqrt(T))))**1.2759831310338539,PySRFunction(X=>Al2O3 + ((-sin(sqrt(CaF2/sin(sqrt(sin(sin(sin(cos(1/sin(CaF2))) + 0.9664108899898554)**3)))**3) + (CaF2**3)**MgO) + 1/CaO)*exp(-cos(sqrt(T))))**1.2759831310338539)
