index,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO
336,1.15,1773,0.603,0.179,0.054,0.083,0.081
337,1.97,1773,0.46,0.147,0.22,0.024,0.149
338,1.7,1773,0.638,0.146,0.075,0.03,0.111
339,1.09,1773,0.604,0.15,0.085,0.082,0.079
340,1.81,1773,0.578,0.145,0.098,0.033,0.146
341,0.79,1773,0.538,0.167,0.087,0.126,0.081
342,1.11,1773,0.581,0.179,0.076,0.083,0.081
343,1.21,1773,0.575,0.177,0.086,0.083,0.08
344,1.19,1773,0.57,0.179,0.087,0.084,0.081
345,1.61,1773,0.612,0.191,0.076,0.042,0.08
346,1.6,1773,0.543,0.201,0.088,0.085,0.082
347,1.02,1773,0.592,0.148,0.151,0.035,0.075
348,1.39,1773,0.53,0.178,0.129,0.083,0.08
349,1.33,1773,0.599,0.15,0.153,0.023,0.076
350,2.11,1773,0.507,0.232,0.09,0.087,0.084
351,1.81,1773,0.49,0.157,0.192,0.082,0.079
352,4.72,1773,0.605,0.106,0.094,0.046,0.149
353,2.93,1773,0.591,0.107,0.091,0.062,0.15
354,1.85,1773,0.575,0.107,0.09,0.078,0.151
355,1.37,1773,0.56,0.108,0.087,0.094,0.151
356,0.81,1823,0.603,0.179,0.054,0.083,0.081
357,1.46,1823,0.46,0.147,0.22,0.024,0.149
358,0.78,1823,0.638,0.146,0.075,0.03,0.111
359,0.61,1823,0.604,0.15,0.085,0.082,0.079
360,0.79,1823,0.578,0.145,0.098,0.033,0.146
361,0.6,1823,0.538,0.167,0.087,0.126,0.081
362,0.81,1823,0.581,0.179,0.076,0.083,0.081
363,0.9,1823,0.575,0.177,0.086,0.083,0.08
364,0.9,1823,0.57,0.179,0.087,0.084,0.081
365,1.2,1823,0.612,0.191,0.076,0.042,0.08
366,1.21,1823,0.543,0.201,0.088,0.085,0.082
367,0.79,1823,0.592,0.148,0.151,0.035,0.075
368,1.1,1823,0.53,0.178,0.129,0.083,0.08
369,1.02,1823,0.599,0.15,0.153,0.023,0.076
370,1.5,1823,0.507,0.232,0.09,0.087,0.084
371,1.31,1823,0.49,0.157,0.192,0.082,0.079
372,2.48,1823,0.605,0.106,0.094,0.046,0.149
373,1.39,1823,0.591,0.107,0.091,0.062,0.15
374,0.88,1823,0.575,0.107,0.09,0.078,0.151
375,0.69,1823,0.56,0.108,0.087,0.094,0.151
376,0.6,1873,0.603,0.179,0.054,0.083,0.081
377,1.14,1873,0.46,0.147,0.22,0.024,0.149
378,0.54,1873,0.638,0.146,0.075,0.03,0.111
