,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.283026204949276,0.0,20.94007177938592,20.94007177938592,PySRFunction(X=>20.94007177938592)
1,3,2.017562519877014,0.06180586815455974,(21.359822926330732 - CaO),21.359822926330732 - CaO,PySRFunction(X=>21.359822926330732 - CaO)
2,4,1.484417958354496,0.30686736128120956,(inv(CaO) - -18.06474254261404),18.06474254261404 + 1/CaO,PySRFunction(X=>18.06474254261404 + 1/CaO)
3,5,1.3723472379332071,0.07850016203253142,(inv(sin(CaO)) - -18.06474254261404),18.06474254261404 + 1/sin(CaO),PySRFunction(X=>18.06474254261404 + 1/sin(CaO))
4,6,0.3209007626641355,1.4531459403827374,(19.287181613224806 - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + 19.287181613224806,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + 19.287181613224806)
5,7,0.3208398894119099,0.00018971293843151644,(19.13817656418593 - cube(log10(cube(sin(CaO))))),-log(sin(CaO)**3)**3/log(10)**3 + 19.13817656418593,PySRFunction(X=>-log(sin(CaO)**3)**3/log(10)**3 + 19.13817656418593)
6,8,0.2844729620475005,0.12030399950545996,((19.71160707173394 - cube(log10(cube(CaO)))) - CaO),-CaO - log(CaO**3)**3/log(10)**3 + 19.71160707173394,PySRFunction(X=>-CaO - log(CaO**3)**3/log(10)**3 + 19.71160707173394)
7,9,0.1383797001846029,0.7206368548512133,(sin(inv(CaO * -0.26379143606247185)) - (-20.49626335286513 - SiO2)),SiO2 - sin(3.7908736345905373/CaO) + 20.49626335286513,PySRFunction(X=>SiO2 - sin(3.7908736345905373/CaO) + 20.49626335286513)
8,10,0.1378975300024837,0.003490484332242672,(sin(inv(sin(CaO * -0.26379143606247185))) - (-20.49626335286513 - SiO2)),SiO2 - sin(1/sin(0.26379143606247185*CaO)) + 20.49626335286513,PySRFunction(X=>SiO2 - sin(1/sin(0.26379143606247185*CaO)) + 20.49626335286513)
9,11,0.0282316025530236,1.5860688647423864,((cos(-19.358984778185125 * CaO) - -19.358984778185125) - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + cos(19.358984778185125*CaO) + 19.358984778185125,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + cos(19.358984778185125*CaO) + 19.358984778185125)
10,12,0.0086852617233799,1.178814474041167,((sin(inv(CaO * CaO)) - -19.420731840030484) - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + sin(CaO**(-2)) + 19.420731840030484,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + sin(CaO**(-2)) + 19.420731840030484)
11,13,0.0053580216455363,0.48303272337521674,((sin(sin(inv(CaO * CaO))) - -19.417508898084275) - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + sin(sin(CaO**(-2))) + 19.417508898084275,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + sin(sin(CaO**(-2))) + 19.417508898084275)
12,14,0.0050904117473833,0.0512360902817122,(((sin(inv(CaO * CaO)) * 0.8674307629303999) - -19.417508898084275) - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + 0.8674307629303999*sin(CaO**(-2)) + 19.417508898084275,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + 0.8674307629303999*sin(CaO**(-2)) + 19.417508898084275)
13,15,0.0049811577100351,0.02169638477252112,(((sin(inv(CaO * CaO)) * cos(SiO2)) - -19.417508898084275) - cube(log10(cube(CaO)))),-log(CaO**3)**3/log(10)**3 + sin(CaO**(-2))*cos(SiO2) + 19.417508898084275,PySRFunction(X=>-log(CaO**3)**3/log(10)**3 + sin(CaO**(-2))*cos(SiO2) + 19.417508898084275)
