,complexity,loss,score,equation,sympy_format,lambda_format
0,1,22.535305243527272,0.0,4.029146866447119,4.029146866447119,PySRFunction(X=>4.029146866447119)
1,2,22.53530524352726,4.440892098500627e-16,exp(1.3935546575201367),4.0291468650084176,PySRFunction(X=>4.0291468650084176)
2,3,7.359001798585698,1.1191589030086881,(SiO2 * 14.014081042567529),14.014081042567529*SiO2,PySRFunction(X=>14.014081042567529*SiO2)
3,4,7.2652471053626755,0.012821988780568677,(14.441945388768476 * sin(SiO2)),14.441945388768476*sin(SiO2),PySRFunction(X=>14.441945388768476*sin(SiO2))
4,5,6.6535696971873,0.08794880235658581,cube(exp(SiO2) - -0.25435827587331317),(exp(SiO2) + 0.25435827587331317)**3,PySRFunction(X=>(exp(SiO2) + 0.25435827587331317)**3)
5,6,6.299024237015773,0.054758768825036545,cube(1.1238004500148566 + (SiO2 / 0.618010802070776)),4.23654478486477*(SiO2 + 0.69452081748118052)**3,PySRFunction(X=>4.23654478486477*(SiO2 + 0.69452081748118052)**3)
6,7,5.281301611804181,0.17622215366359792,cube((SiO2 - sqrt(CaF2)) - -1.3762964630634298),2.6069696869849661*(-0.72658764069926458*sqrt(CaF2) + 0.72658764069926458*SiO2 + 1)**3,PySRFunction(X=>2.6069696869849661*(-0.72658764069926458*sqrt(CaF2) + 0.72658764069926458*SiO2 + 1)**3)
7,8,5.170908557058389,0.021124175269467273,cube(0.8814129506646046 + (SiO2 + (SiO2 + Al2O3))),8*(Al2O3/2 + SiO2 + 0.4407064753323023)**3,PySRFunction(X=>8*(Al2O3/2 + SiO2 + 0.4407064753323023)**3)
8,9,3.8062081601245503,0.30641494945369807,cube(sin(T ^ 0.36070252049618456) + (0.5836905730421356 + SiO2)),(SiO2 + sin(T**0.36070252049618456) + 0.5836905730421356)**3,PySRFunction(X=>(SiO2 + sin(T**0.36070252049618456) + 0.5836905730421356)**3)
9,10,3.6927658119237647,0.030257740189251252,cube(cos(cos(T)) + (SiO2 + (SiO2 + Al2O3))),(Al2O3 + 2*SiO2 + cos(cos(T)))**3,PySRFunction(X=>(Al2O3 + 2*SiO2 + cos(cos(T)))**3)
10,11,2.542021766873708,0.37341598418900673,cube(sin(T ^ 0.3588887063533174) + (SiO2 + (SiO2 + Al2O3))),(Al2O3 + 2*SiO2 + sin(T**0.3588887063533174))**3,PySRFunction(X=>(Al2O3 + 2*SiO2 + sin(T**0.3588887063533174))**3)
11,12,1.7337266183826994,0.38268652922025137,cube((sin(T ^ 0.36158846903801023) + (SiO2 + SiO2)) + sqrt(Al2O3)),(sqrt(Al2O3) + 2*SiO2 + sin(T**0.36158846903801023))**3,PySRFunction(X=>(sqrt(Al2O3) + 2*SiO2 + sin(T**0.36158846903801023))**3)
12,13,1.7114150548043534,0.012952660662992175,cube((sin(T ^ 0.36070252049618456) + (SiO2 + (SiO2 + Al2O3))) + Al2O3),(2*Al2O3 + 2*SiO2 + sin(T**0.36070252049618456))**3,PySRFunction(X=>(2*Al2O3 + 2*SiO2 + sin(T**0.36070252049618456))**3)
13,14,1.7107944051319404,0.00036271869766218854,cube((sin(T ^ 0.36070252049618456) + (SiO2 + (SiO2 + sin(Al2O3)))) + Al2O3),(Al2O3 + 2*SiO2 + sin(Al2O3) + sin(T**0.36070252049618456))**3,PySRFunction(X=>(Al2O3 + 2*SiO2 + sin(Al2O3) + sin(T**0.36070252049618456))**3)
14,15,1.42592546237238,0.18213677684272114,((cube(exp(Al2O3) + SiO2) + sin(sqrt(T) - 1.063603810894368)) ^ (1.063603810894368 + SiO2)),((SiO2 + exp(Al2O3))**3 + sin(sqrt(T) - 1.063603810894368))**(SiO2 + 1.063603810894368),PySRFunction(X=>((SiO2 + exp(Al2O3))**3 + sin(sqrt(T) - 1.063603810894368))**(SiO2 + 1.063603810894368))
15,16,1.2994917846573293,0.09284779704630451,((cube(exp(Al2O3) + SiO2) + sin(sqrt(T) - exp(Al2O3))) ^ (1.042023027076187 + SiO2)),((SiO2 + exp(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + 1.042023027076187),PySRFunction(X=>((SiO2 + exp(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + 1.042023027076187))
16,17,1.282827726450873,0.012906450541169312,((cube(exp(Al2O3) + sin(SiO2)) + sin(sqrt(T) - exp(Al2O3))) ^ (1.063603810894368 + SiO2)),((exp(Al2O3) + sin(SiO2))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + 1.063603810894368),PySRFunction(X=>((exp(Al2O3) + sin(SiO2))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + 1.063603810894368))
17,18,1.159530255808532,0.10105183139846471,((cube((0.969666995233741 + Al2O3) + SiO2) + sin(sqrt(T) - 1.2599319479719935)) ^ ((0.969666995233741 + Al2O3) + SiO2)),((Al2O3 + SiO2 + 0.969666995233741)**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.969666995233741),PySRFunction(X=>((Al2O3 + SiO2 + 0.969666995233741)**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.969666995233741))
18,19,1.116234457544298,0.038054041914782746,((cube((cos(CaF2) + Al2O3) + SiO2) + sin(sqrt(T) - 1.2599319479719935)) ^ ((0.9309892843129086 + Al2O3) + SiO2)),((Al2O3 + SiO2 + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.9309892843129086),PySRFunction(X=>((Al2O3 + SiO2 + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.9309892843129086))
19,20,1.1081553751836246,0.007264120495263855,((cube((cos(CaF2) + sin(Al2O3)) + SiO2) + sin(sqrt(T) - 1.2599319479719935)) ^ ((0.9309892843129086 + Al2O3) + SiO2)),((SiO2 + sin(Al2O3) + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.9309892843129086),PySRFunction(X=>((SiO2 + sin(Al2O3) + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + 0.9309892843129086))
20,21,1.038277980324194,0.06513325613267276,((cube((cos(Al2O3) + Al2O3) + SiO2) + sin(sqrt(T) - exp(Al2O3))) ^ (exp(Al2O3 - CaF2) + SiO2)),((Al2O3 + SiO2 + cos(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + exp(Al2O3 - CaF2)),PySRFunction(X=>((Al2O3 + SiO2 + cos(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(SiO2 + exp(Al2O3 - CaF2)))
21,22,1.0245204538339472,0.013338899474847666,((cube((cos(Al2O3) + Al2O3) + SiO2) + sin(sqrt(T) - exp(Al2O3))) ^ (exp(Al2O3 - CaF2) + sin(SiO2))),((Al2O3 + SiO2 + cos(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(exp(Al2O3 - CaF2) + sin(SiO2)),PySRFunction(X=>((Al2O3 + SiO2 + cos(Al2O3))**3 + sin(sqrt(T) - exp(Al2O3)))**(exp(Al2O3 - CaF2) + sin(SiO2)))
22,23,1.0151089154781816,0.009228740569631808,(((cube((cos(CaF2) + sin(Al2O3)) + SiO2) + sin(sqrt(T) - 1.2599319479719935)) ^ ((cos(MgO) + Al2O3) + SiO2)) - SiO2),-SiO2 + ((SiO2 + sin(Al2O3) + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + cos(MgO)),PySRFunction(X=>-SiO2 + ((SiO2 + sin(Al2O3) + cos(CaF2))**3 + sin(sqrt(T) - 1.2599319479719935))**(Al2O3 + SiO2 + cos(MgO)))
23,24,0.9575787929927404,0.058343183607875396,(((cube((cos(Al2O3) + Al2O3) + SiO2) + sin(sqrt(T) - (exp(Al2O3) + cube(CaO)))) ^ (exp(Al2O3) + SiO2)) - SiO2),-SiO2 + ((Al2O3 + SiO2 + cos(Al2O3))**3 - sin(CaO**3 - sqrt(T) + exp(Al2O3)))**(SiO2 + exp(Al2O3)),PySRFunction(X=>-SiO2 + ((Al2O3 + SiO2 + cos(Al2O3))**3 - sin(CaO**3 - sqrt(T) + exp(Al2O3)))**(SiO2 + exp(Al2O3)))
24,25,0.9233933597129204,0.03635268908139059,(((cube((cos(Al2O3) + Al2O3) + SiO2) + sin(sqrt(T) - (exp(Al2O3) + Al2O3))) ^ ((exp(Al2O3) - CaF2) + SiO2)) - SiO2),-SiO2 + ((Al2O3 + SiO2 + cos(Al2O3))**3 - sin(Al2O3 - sqrt(T) + exp(Al2O3)))**(-CaF2 + SiO2 + exp(Al2O3)),PySRFunction(X=>-SiO2 + ((Al2O3 + SiO2 + cos(Al2O3))**3 - sin(Al2O3 - sqrt(T) + exp(Al2O3)))**(-CaF2 + SiO2 + exp(Al2O3)))
