index,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO
248,8.9,1723,0.255,0.056,0.476,0,0.213
381,0.48,1873,0.538,0.167,0.087,0.126,0.081
8,8.5,1791,0.45,0.1,0.45,0,0
100,7.57,1723,0.487,0.059,0.454,0,0
157,3.48,1773,0.351,0.104,0.327,0,0.219
205,4.39,1733,0.419,0.106,0.326,0,0.149
400,1.6,1853,0.605,0.106,0.094,0.046,0.149
134,0.5,1873,0.284,0.216,0,0.5,0
50,4.4,1873,0.474,0.195,0.332,0,0
215,7,1733,0.459,0.108,0.357,0,0.076
223,2.68,1823,0.351,0.104,0.327,0,0.219
220,3.01,1823,0.405,0.087,0.361,0,0.147
152,4.61,1773,0.441,0.115,0.343,0,0.102
186,4.01,1773,0.539,0.059,0.402,0,0
378,0.54,1873,0.638,0.146,0.075,0.03,0.111
206,5.8,1733,0.441,0.115,0.343,0,0.102
430,2.27,1763,0.575,0.107,0.09,0.078,0.151
374,0.88,1823,0.575,0.107,0.09,0.078,0.151
294,8.33,1673,0.539,0.059,0.402,0,0
133,0.7,1873,0.202,0.398,0,0.4,0
308,7,1673,0.485,0.089,0.352,0,0.075
192,5.02,1773,0.432,0.089,0.403,0,0.075
154,3.92,1773,0.405,0.087,0.361,0,0.147
40,1.7,1923,0.615,0.27,0.115,0,0
371,1.31,1823,0.49,0.157,0.192,0.082,0.079
235,5.92,1723,0.305,0.056,0.427,0,0.212
367,0.79,1823,0.592,0.148,0.151,0.035,0.075
362,0.81,1823,0.581,0.179,0.076,0.083,0.081
373,1.39,1823,0.591,0.107,0.091,0.062,0.15
336,1.15,1773,0.603,0.179,0.054,0.083,0.081
52,4.5,1873,0.434,0.06,0.506,0,0
135,0.5,1873,0.451,0.3,0,0.249,0
301,9.97,1673,0.37,0.087,0.395,0,0.147
406,0.65,1843,0.575,0.107,0.09,0.078,0.151
359,0.61,1823,0.604,0.15,0.085,0.082,0.079
115,8.33,1673,0.539,0.059,0.402,0,0
259,6.5,1723,0.37,0.087,0.395,0,0.147
267,3.9,1723,0.422,0.087,0.344,0,0.147
145,1.03,1773,0.358,0.262,0,0.38,0
148,1.49,1773,0.312,0.415,0,0.273,0
433,4.09,1753,0.591,0.107,0.091,0.062,0.15
352,4.72,1773,0.605,0.106,0.094,0.046,0.149
60,6.2,1823,0.453,0.124,0.423,0,0
142,0.5,1873,0.432,0.207,0,0.361,0
408,2.2,1833,0.605,0.106,0.094,0.046,0.149
191,5.16,1773,0.497,0.091,0.412,0,0
297,5.26,1673,0.355,0.056,0.378,0,0.211
139,0.6,1873,0.363,0.293,0,0.344,0
47,4.7,1873,0.417,0,0.583,0,0
369,1.02,1823,0.599,0.15,0.153,0.023,0.076
233,6.97,1723,0.423,0.058,0.445,0,0.074
72,7.53,1773,0.463,0.159,0.378,0,0
415,0.78,1813,0.56,0.108,0.087,0.094,0.151
183,5.88,1773,0.2,0.055,0.467,0,0.278
414,0.97,1813,0.575,0.107,0.09,0.078,0.151
404,1.87,1843,0.605,0.106,0.094,0.046,0.149
200,3,1773,0.485,0.089,0.352,0,0.075
422,1.31,1793,0.575,0.107,0.09,0.078,0.151
252,5.23,1723,0.539,0.059,0.402,0,0
224,2.88,1823,0.414,0.087,0.352,0,0.147
269,7.2,1723,0.441,0.121,0.36,0,0.077
346,1.6,1773,0.543,0.201,0.088,0.085,0.082
189,2.62,1773,0.355,0.056,0.378,0,0.211
193,4.28,1773,0.37,0.087,0.395,0,0.147
75,4.01,1773,0.539,0.059,0.402,0,0
150,3.21,1773,0.431,0.087,0.336,0,0.147
347,1.02,1773,0.592,0.148,0.151,0.035,0.075
434,2.69,1753,0.575,0.107,0.09,0.078,0.151
365,1.2,1823,0.612,0.191,0.076,0.042,0.08
167,4.79,1773,0.423,0.058,0.445,0,0.074
204,3.99,1733,0.431,0.087,0.336,0,0.147
398,0.57,1863,0.575,0.107,0.09,0.078,0.151
239,9.45,1723,0.26,0.086,0.437,0,0.217
230,9.4,1723,0.396,0.156,0.37,0,0.079
232,3.98,1723,0.348,0.027,0.417,0,0.207
265,8.37,1723,0.265,0.117,0.396,0,0.222
382,0.7,1873,0.581,0.179,0.076,0.083,0.081
182,6.71,1773,0.255,0.056,0.476,0,0.213
155,3.12,1773,0.408,0.068,0.364,0,0.16
159,3.81,1773,0.421,0.083,0.357,0,0.139
69,9.2,1773,0.453,0.124,0.423,0,0
372,2.48,1823,0.605,0.106,0.094,0.046,0.149
270,5.3,1673,0.362,0.085,0.338,0,0.216
277,8.79,1673,0.305,0.056,0.427,0,0.212
249,8.12,1723,0.2,0.055,0.467,0,0.278
197,7.69,1773,0.388,0.122,0.413,0,0.077
38,3.6,1923,0.417,0,0.583,0,0
424,3.97,1783,0.605,0.106,0.094,0.046,0.149
338,1.7,1773,0.638,0.146,0.075,0.03,0.111
268,5.7,1723,0.317,0.116,0.346,0,0.221
337,1.97,1773,0.46,0.147,0.22,0.024,0.149
271,8.2,1673,0.378,0.119,0.353,0,0.15
354,1.85,1773,0.575,0.107,0.09,0.078,0.151
165,5.6,1773,0.332,0.152,0.362,0,0.154
42,3,1923,0.453,0.124,0.423,0,0
360,0.79,1823,0.578,0.145,0.098,0.033,0.146
207,6.51,1733,0.385,0.106,0.36,0,0.149
80,4.88,1773,0.487,0.059,0.454,0,0
176,8.41,1773,0.157,0.115,0.438,0,0.29
428,5.55,1763,0.605,0.106,0.094,0.046,0.149
54,4,1823,0.608,0.392,0,0,0
419,0.89,1803,0.56,0.108,0.087,0.094,0.151
254,4.27,1723,0.413,0.057,0.386,0,0.144
170,8.54,1773,0.443,0.091,0.465,0,0
131,0.6,1873,0.115,0.235,0,0.65,0
260,5.33,1723,0.311,0.086,0.387,0,0.216
380,0.55,1873,0.578,0.145,0.098,0.033,0.146
95,5.23,1723,0.539,0.059,0.402,0,0
188,2.98,1773,0.413,0.057,0.386,0,0.144
397,0.87,1863,0.591,0.107,0.091,0.062,0.15
342,1.11,1773,0.581,0.179,0.076,0.083,0.081
231,8.1,1723,0.332,0.152,0.362,0,0.154
355,1.37,1773,0.56,0.108,0.087,0.094,0.151
385,0.89,1873,0.612,0.191,0.076,0.042,0.08
76,5.16,1773,0.497,0.091,0.412,0,0
312,8.3,1623,0.362,0.085,0.338,0,0.216
58,3.3,1823,0.615,0.27,0.115,0,0
55,7.4,1823,0.394,0.361,0.245,0,0
394,0.54,1873,0.575,0.107,0.09,0.078,0.151
201,2.7,1773,0.422,0.087,0.344,0,0.147
158,3.66,1773,0.414,0.087,0.352,0,0.147
390,1.09,1873,0.507,0.232,0.09,0.087,0.084
216,2.44,1823,0.431,0.087,0.336,0,0.147
388,0.81,1873,0.53,0.178,0.129,0.083,0.08
384,0.69,1873,0.57,0.179,0.087,0.084,0.081
340,1.81,1773,0.578,0.145,0.098,0.033,0.146
35,1.6,1923,0.646,0.355,0,0,0
45,2.7,1873,0.608,0.392,0,0,0
425,2.5,1783,0.591,0.107,0.091,0.062,0.15
194,3.72,1773,0.311,0.086,0.387,0,0.216
309,6,1673,0.422,0.087,0.344,0,0.147
405,1.02,1843,0.591,0.107,0.091,0.062,0.15
210,4.14,1733,0.423,0.087,0.343,0,0.147
59,6.1,1823,0.474,0.195,0.332,0,0
46,4.7,1873,0.394,0.361,0.245,0,0
375,0.69,1823,0.56,0.108,0.087,0.094,0.151
257,8.22,1723,0.497,0.091,0.412,0,0
247,9.92,1723,0.312,0.057,0.486,0,0.145
287,8.08,1673,0.245,0.027,0.456,0,0.272
36,2,1923,0.608,0.392,0,0,0
389,0.81,1873,0.599,0.15,0.153,0.023,0.076
65,9.3,1773,0.417,0,0.583,0,0
302,8.02,1673,0.311,0.086,0.387,0,0.216
427,1.2,1783,0.56,0.108,0.087,0.094,0.151
411,0.6,1833,0.56,0.108,0.087,0.094,0.151
179,3.93,1773,0.245,0.027,0.456,0,0.272
53,3.5,1823,0.646,0.355,0,0,0
62,5.7,1773,0.646,0.355,0,0,0
51,4.3,1873,0.453,0.124,0.423,0,0
395,0.43,1873,0.56,0.108,0.087,0.094,0.151
303,8.34,1673,0.254,0.084,0.379,0,0.283
195,3.84,1773,0.254,0.084,0.379,0,0.283
393,0.79,1873,0.591,0.107,0.091,0.062,0.15
348,1.39,1773,0.53,0.178,0.129,0.083,0.08
376,0.6,1873,0.603,0.179,0.054,0.083,0.081
37,3.3,1923,0.394,0.361,0.245,0,0
1,7,1816,0.45,0.1,0.45,0,0
361,0.6,1823,0.538,0.167,0.087,0.126,0.081
61,6.2,1823,0.434,0.06,0.506,0,0
84,8.23,1773,0.434,0.06,0.506,0,0
77,8.32,1773,0.453,0.125,0.423,0,0
91,7.6,1723,0.508,0.124,0.368,0,0
141,0.6,1873,0.422,0.241,0,0.336,0
136,0.53,1873,0.503,0.219,0,0.278,0
356,0.81,1823,0.603,0.179,0.054,0.083,0.081
138,1.35,1873,0.314,0.446,0,0.239,0
149,1.8,1773,0.417,0.312,0,0.271,0
7,9.5,1791,0.45,0.15,0.4,0,0
146,3.29,1773,0.439,0.415,0,0.146,0
295,6.77,1673,0.475,0.058,0.394,0,0.073
409,1.16,1833,0.591,0.107,0.091,0.062,0.15
403,0.49,1853,0.56,0.108,0.087,0.094,0.151
208,4.92,1733,0.405,0.087,0.361,0,0.147
169,4.07,1773,0.305,0.056,0.427,0,0.212
213,4.75,1733,0.421,0.083,0.357,0,0.139
234,6.9,1723,0.363,0.057,0.436,0,0.144
209,3.82,1733,0.408,0.068,0.364,0,0.16
261,5.55,1723,0.254,0.084,0.379,0,0.283
418,1.12,1803,0.575,0.107,0.09,0.078,0.151
203,4.8,1773,0.441,0.121,0.36,0,0.077
177,4.4,1773,0.356,0.028,0.475,0,0.141
164,6.5,1773,0.396,0.156,0.37,0,0.079
168,4.58,1773,0.363,0.057,0.436,0,0.144
387,0.64,1873,0.592,0.148,0.151,0.035,0.075
413,1.63,1813,0.591,0.107,0.091,0.062,0.15
353,2.93,1773,0.591,0.107,0.091,0.062,0.15
166,2.84,1773,0.348,0.027,0.417,0,0.207
39,1.6,1923,0.539,0.059,0.402,0,0
185,9.51,1773,0.153,0.084,0.477,0,0.285
153,5.15,1773,0.385,0.106,0.36,0,0.149
396,1.21,1863,0.605,0.106,0.094,0.046,0.149
417,1.81,1803,0.591,0.107,0.091,0.062,0.15
156,3.42,1773,0.423,0.087,0.343,0,0.147
143,1.1,1773,0.439,0.262,0,0.299,0
163,4.1,1773,0.378,0.119,0.353,0,0.15
274,5.68,1673,0.348,0.027,0.417,0,0.207
144,0.99,1773,0.36,0.262,0,0.378,0
316,9.03,1623,0.348,0.027,0.417,0,0.207
132,0.65,1873,0.128,0.311,0,0.561,0
199,5.61,1773,0.265,0.117,0.396,0,0.222
137,0.4,1873,0.48,0.135,0,0.385,0
266,4.6,1723,0.485,0.089,0.352,0,0.075
379,0.51,1873,0.604,0.15,0.085,0.082,0.079
173,6.68,1773,0.26,0.086,0.437,0,0.217
407,0.56,1843,0.56,0.108,0.087,0.094,0.151
161,5.12,1773,0.459,0.108,0.357,0,0.076
151,3.54,1773,0.419,0.106,0.326,0,0.149
256,3.78,1723,0.298,0.055,0.371,0,0.276
0,7.6,1816,0.45,0.15,0.4,0,0
366,1.21,1823,0.543,0.201,0.088,0.085,0.082
222,2.61,1823,0.423,0.087,0.343,0,0.147
190,2.81,1773,0.298,0.055,0.371,0,0.276
96,8.22,1723,0.497,0.091,0.412,0,0
364,0.9,1823,0.57,0.179,0.087,0.084,0.081
221,2.39,1823,0.408,0.068,0.364,0,0.16
253,4.6,1723,0.475,0.058,0.394,0,0.073
226,3.25,1823,0.432,0.098,0.349,0,0.121
351,1.81,1773,0.49,0.157,0.192,0.082,0.079
198,6.94,1773,0.325,0.119,0.405,0,0.151
296,6.4,1673,0.413,0.057,0.386,0,0.144
402,0.58,1853,0.575,0.107,0.09,0.078,0.151
229,5.4,1723,0.378,0.119,0.353,0,0.15
416,3.14,1803,0.605,0.106,0.094,0.046,0.149
420,3.68,1793,0.605,0.106,0.094,0.046,0.149
344,1.19,1773,0.57,0.179,0.087,0.084,0.081
160,4.22,1773,0.432,0.098,0.349,0,0.121
81,8.54,1773,0.443,0.091,0.465,0,0
310,8.9,1673,0.317,0.116,0.346,0,0.221
48,2.1,1873,0.539,0.059,0.402,0,0
429,3.44,1763,0.591,0.107,0.091,0.062,0.15
432,6.39,1753,0.605,0.106,0.094,0.046,0.149
343,1.21,1773,0.575,0.177,0.086,0.083,0.08
245,5.53,1723,0.245,0.027,0.456,0,0.272
214,5.3,1733,0.432,0.098,0.349,0,0.121
68,9.2,1773,0.474,0.195,0.332,0,0
258,8.09,1723,0.432,0.089,0.403,0,0.075
147,2.4,1773,0.393,0.415,0,0.192,0
339,1.09,1773,0.604,0.15,0.085,0.082,0.079
421,2.09,1793,0.591,0.107,0.091,0.062,0.15
401,0.93,1853,0.591,0.107,0.091,0.062,0.15
285,9.07,1673,0.356,0.028,0.475,0,0.141
202,3.9,1773,0.317,0.116,0.346,0,0.221
217,2.86,1823,0.419,0.106,0.326,0,0.149
225,2.91,1823,0.421,0.083,0.357,0,0.139
49,2.3,1873,0.615,0.27,0.115,0,0
219,3.72,1823,0.385,0.106,0.36,0,0.149
212,4.6,1733,0.414,0.087,0.352,0,0.147
180,7.53,1773,0.372,0.058,0.496,0,0.074
171,7.6,1773,0.38,0.089,0.455,0,0.075
70,8.6,1773,0.434,0.06,0.506,0,0
238,9.8,1723,0.319,0.088,0.446,0,0.148
368,1.1,1823,0.53,0.178,0.129,0.083,0.08
187,3.29,1773,0.475,0.058,0.394,0,0.073
67,5,1773,0.615,0.27,0.115,0,0
391,1,1873,0.49,0.157,0.192,0.082,0.079
431,1.56,1763,0.56,0.108,0.087,0.094,0.151
383,0.68,1873,0.575,0.177,0.086,0.083,0.08
211,4.75,1733,0.351,0.104,0.327,0,0.219
412,2.81,1813,0.605,0.106,0.094,0.046,0.149
172,6.76,1773,0.319,0.088,0.446,0,0.148
358,0.78,1823,0.638,0.146,0.075,0.03,0.111
377,1.14,1873,0.46,0.147,0.22,0.024,0.149
435,1.81,1753,0.56,0.108,0.087,0.094,0.151
57,2.8,1823,0.539,0.059,0.402,0,0
178,4.15,1773,0.299,0.027,0.465,0,0.208
298,5.5,1673,0.298,0.055,0.371,0,0.276
196,8.32,1773,0.453,0.125,0.423,0,0
56,6.8,1823,0.417,0,0.583,0,0
341,0.79,1773,0.538,0.167,0.087,0.126,0.081
43,3.4,1923,0.434,0.06,0.506,0,0
63,6,1773,0.608,0.392,0,0,0
255,3.64,1723,0.355,0.056,0.378,0,0.211
181,7.09,1773,0.312,0.057,0.486,0,0.145
345,1.61,1773,0.612,0.191,0.076,0.042,0.08
244,5.6,1723,0.299,0.027,0.465,0,0.208
44,2.3,1873,0.646,0.355,0,0,0
218,3.51,1823,0.441,0.115,0.343,0,0.102
243,6.08,1723,0.356,0.028,0.475,0,0.141
386,0.9,1873,0.543,0.201,0.088,0.085,0.082
357,1.46,1823,0.46,0.147,0.22,0.024,0.149
410,0.78,1833,0.575,0.107,0.09,0.078,0.151
140,0.5,1873,0.413,0.273,0,0.314,0
392,0.92,1873,0.605,0.106,0.094,0.046,0.149
71,4.96,1773,0.508,0.124,0.368,0,0
426,1.52,1783,0.575,0.107,0.09,0.078,0.151
363,0.9,1823,0.575,0.177,0.086,0.083,0.08
350,2.11,1773,0.507,0.232,0.09,0.087,0.084
66,3.9,1773,0.539,0.059,0.402,0,0
286,8.19,1673,0.299,0.027,0.465,0,0.208
175,9.71,1773,0.213,0.117,0.447,0,0.222
228,3.6,1723,0.362,0.085,0.338,0,0.216
399,0.49,1863,0.56,0.108,0.087,0.094,0.151
423,1.03,1793,0.56,0.108,0.087,0.094,0.151
41,3.3,1923,0.474,0.195,0.332,0,0
227,4,1823,0.459,0.108,0.357,0,0.076
370,1.5,1823,0.507,0.232,0.09,0.087,0.084
349,1.33,1773,0.599,0.15,0.153,0.023,0.076
162,2.6,1773,0.362,0.085,0.338,0,0.216
